,panel_name,loan_amount,actualshare,expectedshare,delta
0,ACADEMY MORTGAGE CORPORATION,501,0.00044211551834294043,0.00018124226594751466,0.00026087325239542575
1,ADVANTAGE BK,390,0.00034416178074600154,6.800508343229817e-06,0.0003373612724027717
2,ALIGN CU,542,0.00047829662862649446,0.0003036514161256513,0.00017464521250084317
3,ALLIANT CU,999,0.0008815836383724501,0.000626065260398265,0.0002555183779741851
4,AMER AIRLINES FCU,532,0.0004694719675817252,5.839718574737604e-05,0.00041107478183434915
5,AMERICAN INTERNET MORTGAGE,1246,0.001099552766178251,0.0004914500696040747,0.0006081026965741763
6,AMERICAN NEIGHBORHOOD MORTGAGE,4755,0.004196126326787788,0.001328313651441584,0.0028678126753462043
7,AMERISAVE MORTGAGE CORPORATION,520,0.00045888237432800206,0.0011794871419301314,-0.0007206047676021293
8,ASTORIA FEDERAL MTG. CORP.,856,0.0007553909854322496,0.0008196181901671136,-6.422720473486408e-05
9,"ATLANTIC HOME LENDING, INC",697,0.0006150788748204182,0.0006898505412175846,-7.477166639716646e-05
10,ATLANTIC HOME LOANS INC.,280,0.00024709050925353956,0.00013906167701860971,0.00010802883223492985
11,AVIDIA BK,9713,0.008571393272784392,0.0014846381573314696,0.0070867551154529225
12,BANC OF CA NA,1354,0.0011948591054617593,0.000395266469549573,0.0007995926359121862
13,BANK OF AMER NA,43120,0.0380519384250451,0.03350528505865194,0.004546653366393157
14,BANK OF CANTON,4055,0.003578400053653939,0.014287310038697685,-0.010708909985043745
15,BANK OF ENGLAND,365,0.00032210012813407835,0.00047479754276360175,-0.0001526974146295234
16,BANKGLOUCESTER,706,0.0006230210697607105,0.00011510296300938466,0.0005079181067513259
17,BELMONT SVG BK,3666,0.0032351207390124144,0.005101113619859325,-0.001865992880846911
18,BERKSHIRE BK,9832,0.008676406739217147,0.008273742571185716,0.0004026641680314313
19,BEVERLY BK,6567,0.00579515490809998,0.0004502459639244541,0.005344908944175526
20,BEVERLY CO-OP BK,680,0.0006000769510443104,0.0002609477111703441,0.0003391292398739663
21,BLUE HILLS BK,3808,0.0033604309258481384,0.008819178214714507,-0.005458747288866368
22,BNY MELLON NA,6179,0.005452758059562932,0.0038103248247116665,0.0016424332348512656
23,BOSTON FRFTRS CU,1310,0.0011560305968647743,0.0016347898941098074,-0.0004787592972450331
24,BOSTON PRIVATE B&TC,35608,0.03142285304821442,0.012794092778533215,0.018628760269681202
25,BRANCH BKG&TC,825,0.0007280345361934649,0.000992368539286031,-0.0002643340030925661
26,"BROKER SOLUTIONS, INC",635,0.0005603659763428486,0.0005955850332598912,-3.521905691704255e-05
27,BROOKLINE BK,2510,0.0022149899222370867,0.005543495406186865,-0.0033285054839497785
28,"CALIBER HOME LOANS, INC.",1055,0.000931001740223158,0.001968729728164152,-0.001037727987940994
