,panel_name,loan_amount,actualshare,expectedshare,delta
0,"1ST ALLIANCE LENDING, LLC",254,8.999168462662132e-05,0.00013274941030002202,-4.275772567340071e-05
1,ABINGTON BK,3578,0.0012676781401340593,0.0011435141965145338,0.00012416394361952545
2,ACADEMY MORTGAGE CORPORATION,631,0.0002235620196826695,0.00018124226594751466,4.231975373515483e-05
3,ADVANCIAL FCU,261,9.247177042341796e-05,6.844101345430008e-05,2.403075696911788e-05
4,ADVANTAGE BK,390,0.0001381762086786705,6.800508343229817e-06,0.0001313757003354407
5,ALIGN CU,542,0.00019202950026625494,0.0003036514161256513,-0.00011162191585939636
6,ALLIANT CU,3766,0.001334286158676598,0.000626065260398265,0.000708220898278333
7,AMER AIRLINES FCU,803,0.00028450127068967287,5.839718574737604e-05,0.00022610408494229682
8,AMERICAN FINANCIAL RESOURCES,354,0.00012542148172371633,0.0010070332252261752,-0.0008816117435024588
9,AMERICAN INTERNET MORTGAGE,2242,0.00079433605091687,0.0004914500696040747,0.00030288598131279526
10,AMERICAN NEIGHBORHOOD MORTGAGE,6578,0.0023305720530469093,0.001328313651441584,0.0010022584016053252
11,AMERISAVE MORTGAGE CORPORATION,1702,0.0006030151465925569,0.0011794871419301314,-0.0005764719953375745
12,ASTORIA FEDERAL MTG. CORP.,4987,0.0017668839812321278,0.0008196181901671136,0.0009472657910650141
13,"ATLANTIC HOME LENDING, INC",697,0.0002469456857667522,0.0006898505412175846,-0.00044290485545083244
14,ATLANTIC HOME LOANS INC.,280,9.920343187186602e-05,0.00013906167701860971,-3.9858245146743695e-05
15,AVIDIA BK,10863,0.0038487388586574303,0.0014846381573314696,0.002364100701325961
16,BANC OF CA NA,1354,0.00047971945269466635,0.000395266469549573,8.445298314509333e-05
17,BANGOR SVG BK,689,0.00024411130199898458,1.2014231406372675e-05,0.0002320970705926119
18,BANK OF AMER NA,76881,0.02723878230621761,0.03350528505865194,-0.00626650275243433
19,BANK OF CANTON,16088,0.0056999457569806445,0.014287310038697685,-0.00858736428171704
20,BANK OF CAPE COD,907,0.0003213482596706517,0.00012158960173677313,0.00019975865793387857
21,BANK OF ENGLAND,693,0.00024552849388286837,0.00047479754276360175,-0.00022926904888073338
22,BANKGLOUCESTER,2426,0.0008595268775755248,0.00011510296300938466,0.0007444239145661402
23,BARRINGTON B&TC NA,3086,0.0010933635384163518,0.0013882278736655265,-0.0002948643352491747
24,BAXTER CU,490,0.00017360600577576553,0.000417830207488392,-0.00024422420171262644
25,BAY ST SVG BK,1328,0.00047050770544942164,0.0006418633643956143,-0.00017135565894619263
26,BAYCOAST BK,831,0.0002944216138768595,0.0009332564283025717,-0.0006388348144257122
27,BELMONT SVG BK,12141,0.004301531665558305,0.005101113619859325,-0.0007995819543010207
28,BERKSHIRE BK,28007,0.009922823272983399,0.008273742571185716,0.0016490807017976832
29,BEVERLY BK,10661,0.0037771706685212985,0.0004502459639244541,0.0033269247045968446
30,BEVERLY CO-OP BK,3141,0.0011128499268197541,0.0002609477111703441,0.0008519022156494101
31,BLUE HILLS BK,17688,0.0062668225105341644,0.008819178214714507,-0.0025523557041803426
32,BMO HARRIS BK NA,950,0.00033658307242240255,7.363729931656287e-05,0.00026294577310583965
33,BNY MELLON NA,16242,0.005754507644510171,0.0038103248247116665,0.0019441828197985043
34,BOKF NA,597,0.0002115158886696572,0.0002965719125683403,-8.505602389868313e-05
35,BOSTON FRFTRS CU,6930,0.002455284938828684,0.0016347898941098074,0.0008204950447188765
36,BOSTON PRIVATE B&TC,87998,0.03117751284950166,0.012794092778533215,0.018383420070968444
37,BRANCH BKG&TC,1914,0.0006781263164383984,0.000992368539286031,-0.00031424222284763255
38,BRIDGEWATER SVG BK,2172,0.0007695351929489035,0.0035320096614647662,-0.002762474468515863
39,BRISTOL CTY SVG BK,300,0.00010628939129128502,0.0018938369503842234,-0.0017875475590929384
40,"BROKER SOLUTIONS, INC",635,0.00022497921156655327,0.0005955850332598912,-0.0003706058216933379
41,BROOKLINE BK,6617,0.0023443896739147765,0.005543495406186865,-0.0031991057322720887
42,"CALIBER HOME LOANS, INC.",3369,0.0011936298642011307,0.001968729728164152,-0.0007750998639630214
43,CAMBRIDGE MTG GRP,1464,0.0005186922295014708,0.0020778691684725506,-0.0015591769389710797
44,CAMBRIDGE SVG BK,28659,0.010153825550056457,0.004573394172424692,0.005580431377631765
45,CAMBRIDGE TC,13263,0.00469905398898771,0.0032712188851023428,0.0014278351038853675
46,CAMDEN NB,1246,0.0004414552718298038,0.0017883244478588808,-0.001346869176029077
47,CAPE ANN SVG BK,394,0.00013959340056255432,3.98440040109747e-05,9.974939655157963e-05
48,CAPE COD FIVE CENTS SVG BK,2308,0.0008177197170009527,0.002744057428095871,-0.0019263377110949184
49,CAPITAL BANK NA,204,7.22767860780738e-05,7.96880080219494e-05,-7.4112219438755915e-06
50,CAPITAL ONE NA,1136,0.0004024824950229993,0.006162812469844541,-0.005760329974821542
51,CATHAY BK,1514,0.0005364071280500183,0.00035346949904002976,0.00018293762900998856
52,CBC NB,672,0.00023808823649247842,0.0005754799406451633,-0.0003373917041526849
53,CENT MTG CO D/B/A CENTURY LEND,326,0.00011550113853652972,5.684527486904924e-06,0.00010981661104962479
54,CENTREVILLE BANK,542,0.00019202950026625494,3.4612843746951755e-05,0.00015741665651930318
55,CENTURY B&TC,16525,0.005854773970294949,0.0017055326180802778,0.004149241352214671
56,CHARLES SCHWAB BK,2423,0.0008584639836626119,0.001003755031460721,-0.0001452910477981091
57,CHELSEA BK,750,0.00026572347822821255,7.489277777992837e-05,0.0001908307004482842
58,CITIBANK NA,22920,0.008120509494654175,0.01135826134646508,-0.0032377518518109053
59,CITIZENS BK NA,24197,0.008572948003584078,0.012826020293344636,-0.004253072289760558
60,"CITIZENS BK, NA",12783,0.004528990962921655,0.00452287860147511,6.112361446544527e-06
61,CITY NB,353,0.00012506718375274536,0.00010221687155900815,2.285031219373721e-05
62,CITY OF BOSTON CU,5931,0.0021013412658287046,0.0021022463753028967,-9.051094741921277e-07
63,CLINTON SVG BK,231,8.184283129428946e-05,0.00061577731187902,-0.0005339344805847306
64,COASTAL HERITAGE BANK,510,0.00018069196519518451,0.0008231753791466492,-0.0006424834139514647
65,COASTAL HERITAGE BK,622,0.00022037333794393092,0.0011275765949101439,-0.0009072032569662129
66,COASTWAY CMNTY BK,4846,0.0017169279673252239,0.0007983099306916602,0.0009186180366335636
67,COLE TAYLOR BK,225,7.971704346846376e-05,0.0005646165644968756,-0.00048489952102841183
68,COLONIAL FSB,1750,0.0006200214491991626,0.0011092500967851836,-0.000489228647586021
69,COMMERCE B&TC,3558,0.0012605921807146404,0.0013368927542745815,-7.630057355994114e-05
70,COMMONWEALTH CO-OP BK,4455,0.0015783974606755824,0.0008866642275510077,0.0006917332331245747
71,"COMMONWEALTH MORTGAGE, LLC",5182,0.001835972085571463,0.003492078471449391,-0.0016561063858779278
72,COMMUNITY FSB,269,9.530615419118556e-05,0.000545784387546393,-0.0004504782333552074
73,CONGRESSIONAL BK,316,0.00011195815882682021,0.00010380365683909511,8.1545019877251e-06
74,CONNECTICUT HOME MORTGAGE,373,0.00013215314317216437,1.2572221834535122e-05,0.00011958092133762925
75,CONNEXUS CU,52,1.84234944904894e-05,1.0898250550047785e-05,7.525243940441616e-06
76,COOPERATIVE BK,15248,0.005402335461365046,0.002645014127097037,0.002757321334268009
77,CROSSCOUNTRY MORTGAGE INC.,2730,0.0009672334607506936,0.001486643435432678,-0.0005194099746819843
78,CUSTOMERS BK,3850,0.0013640471882381577,0.00041762096107783104,0.0009464262271603266
79,DB PRIVATE WEALTH MORTGAGE,2813,0.0009966401923412825,0.00023671000194703783,0.0007599301903942447
80,DEAN CO-OP BK,325,0.00011514684056555877,0.0017722299114465703,-0.0016570830708810115
81,DEDHAM INST FOR SVG,8380,0.0029690169967365614,0.007534230881861673,-0.004565213885125112
82,DIGITAL FCU,33517,0.011875005093033332,0.005117312779476917,0.006757692313556415
83,DIRECT FED CU,396,0.00014030199650449623,0.0019069671626469212,-0.001766665166142425
84,DISCOVER HOME LOANS,1936,0.0006859208717997592,0.000653459102980865,3.2461768818894195e-05
85,DITECH FINANCIAL LLC,9142,0.003238992050616425,0.003690095324643539,-0.00045110327402711394
86,DITECH MORTGAGE CORP,835,0.00029583880576074327,0.0005038479194298091,-0.0002080091136690658
87,DRAPER AND KRAMER MORTGAGE COR,1630,0.0005775056926826486,5.5467735999523204e-05,0.0005220379566831254
88,"DREW MORTGAGE ASSOCIATES, INC.",2168,0.0007681180010650197,0.0005486615256916057,0.00021945647537341406
89,"E MORTGAGE MANAGEMENT, LLC",931,0.0003298514109739545,0.0006297619469848412,-0.0002999105360108867
90,EAGLE BK,1944,0.0006887552555675269,0.00039538852995573364,0.00029336672561179324
91,EAST BOSTON SAVINGS BANK,66273,0.02348038943015777,0.006408380569838657,0.017072008860319114
92,EAST BOSTON SVG BK,110104,0.039009623795785486,0.009290924247324096,0.02971869954846139
93,EAST CAMBRIDGE SVG BK,17314,0.006134315069391029,0.0026274199914090397,0.0035068950779819892
94,EAST WEST BK,2595,0.0009194032346696154,0.0006669380592611643,0.0002524651754084511
95,EASTERN BK,39601,0.014030553948420593,0.015693114610850326,-0.001662560662429733
96,EASTHAMPTON SVG BK,871,0.0003085935327156975,2.153494308689442e-05,0.00028705858962880306
97,EDISON NB,523,0.00018529783881780687,9.119656060279984e-06,0.0001761781827575269
98,"EMBRACE HOME LOANS, INC.",1646,0.0005831744602181838,0.002535055138347275,-0.0019518806781290913
99,EMIGRANT FUNDING CORP,1340,0.0004747592811010731,6.603467973284953e-05,0.00040872460136822357
100,"EMIGRANT MORTGAGE COMPANY, INC",1727,0.0006118725958668308,8.598283753965699e-05,0.0005258897583271738
101,ENTERPRISE B&TC,2194,0.0007773297483102644,0.0004082397470043499,0.00036909000130591456
102,"ENVOY MORTGAGE, LTD",3248,0.0011507598097136459,0.0016267513445040926,-0.0004759915347904468
103,EQUITABLE BANK,976,0.00034579481966764725,0.0005639016392607924,-0.00021810681959314517
104,"EQUITY LOANS, LLC",386,0.00013675901679478672,0.00013644609688659825,3.1291990818847564e-07
105,EVERBANK,7406,0.002623930773010856,0.0041212824280060685,-0.0014973516549952126
106,EVERETT CO-OP BK,21500,0.007617406375875426,0.0009842776780776756,0.00663312869779775
107,EVERETT CU,251,8.892879071370846e-05,3.914651597577164e-05,4.978227473793682e-05
108,EVOLVE B&TC,672,0.00023808823649247842,0.0005942946803947657,-0.0003562064439022873
109,FAIRWAY INDP MORTGAGE CORP,45756,0.01621125795974679,0.017231563970097712,-0.0010203060103509236
110,FARMINGTON BK,3660,0.0012967305737536772,0.000814927583130373,0.00048180299062330423
111,"FBC MORTGAGE, LLC",14015,0.004965486063157865,0.005106118096511908,-0.00014063203335404253
112,FEDERAL SVGS BK,209,7.404827593292856e-05,0.0006237984242838551,-0.0005497501483509265
113,FIDELITY CO-OP BK,2044,0.0007241850526646219,0.0004828186551684369,0.00024136639749618502
114,FIFTH THIRD MTG CO,1028,0.00036421831415813665,0.0006209038489377622,-0.00025668553477962557
115,FINANCE OF AMERICA MORTGAGE,2272,0.0008049649900459986,0.0013631531787999768,-0.0005581881887539782
116,FIRST CHOICE LOAN SERVICES INC,355,0.00012577577969468727,0.00011334180572049695,1.2433973974190315e-05
117,FIRST COMMONS BK NA,15506,0.005493744337875551,0.0014188301612100608,0.00407491417666549
118,FIRST FSB OF BOSTON,4299,0.0015231269772041141,0.00333451592429702,-0.001811388947092906
119,FIRST GUARANTY MORTGAGE CORP,382,0.0001353418249109029,0.000400968434237358,-0.0002656266093264551
120,FIRST HOME MORTGAGE CORPORATIO,4698,0.0016644918676215234,0.0040572181519726675,-0.002392726284351144
121,FIRST INTERNET BK IN,1084,0.00038405900053250987,0.00017564492446501008,0.0002084140760674998
122,FIRST IPSWICH BK,867,0.0003071763408318137,0.0002318798973032567,7.529644352855701e-05
123,FIRST MARINER BK,415,0.00014703365795294427,5.487487116960061e-05,9.215878678334367e-05
124,FIRST NIAGARA BK NA,2832,0.0010033718537897306,0.0027706142850362275,-0.0017672424312464969
125,FIRST PRIORITY CU,4720,0.0016722864229828842,0.00023636125792943634,0.001435925165053448
126,FIRST REPUBLIC BK,130369,0.046189472177511785,0.029893343268352905,0.01629612890915888
127,FIRST TRADE UNION BK,605,0.00021435027243742479,0.0001006300862789212,0.00011372018615850359
128,FIRSTBANK,858,0.0003039876590930751,0.0007447602867889454,-0.00044077262769587024
129,FIRSTRUST SVG BK,7282,0.002579997824610458,0.001689316021261807,0.0008906818033486512
130,FLAGSTAR BK FSB,2671,0.0009463298804634076,0.0019631323866816475,-0.0010168025062182399
131,FRANKLIN AMERICAN MORTGAGE CO,1278,0.00045279280690087417,0.002993426837881845,-0.0025406340309809708
132,FREEDOM MORTGAGE CORPORATION,1339,0.0004744049831301021,0.003951444091434125,-0.003477039108304023
133,GEORGETOWN BK,5621,0.00199150889482771,0.0004148310089370188,0.0015766778858906914
134,GLADEWATER NB,904,0.00032028536575773883,0.0007736886030489923,-0.00045340323729125344
135,GMH MORTGAGE SERVICES LLC,6267,0.002220385384074944,0.0017811054466945293,0.0004392799373804145
136,GOLDMAN SACHS BK USA,3947,0.00139841409142234,0.0016523142809942845,-0.00025390018957194456
137,GREAT PLAINS NB,292,0.00010345500752351742,0.00028192466382907615,-0.00017846965630555873
138,GREYLOCK FCU,200,7.085959419419e-05,5.597341482504541e-06,6.526225271168547e-05
139,GUARANTEED RATE INC.,130919,0.04638433606154581,0.034185335892974934,0.012199000168570874
