,panel_name,loan_amount,actualshare,expectedshare,delta
0,ABINGTON BK,3578,0.001916867523453233,0.0011435141965145338,0.0007733533269386993
1,ACADEMY MORTGAGE CORPORATION,631,0.0003380501417828368,0.00018124226594751466,0.00015680787583532212
2,ADVANCIAL FCU,261,0.00013982739620494518,6.844101345430008e-05,7.13863827506451e-05
3,ADVANTAGE BK,390,0.000208937488582102,6.800508343229817e-06,0.00020213698023887217
4,ALIGN CU,542,0.0002903695354141007,0.0003036514161256513,-1.3281880711550587e-05
5,ALLIANT CU,2295,0.0012295167597331385,0.000626065260398265,0.0006034514993348735
6,AMER AIRLINES FCU,532,0.00028501216391199554,5.839718574737604e-05,0.0002266149781646195
7,AMERICAN INTERNET MORTGAGE,1606,0.0008603938632380918,0.0004914500696040747,0.00036894379363401706
8,AMERICAN NEIGHBORHOOD MORTGAGE,5158,0.0027633322207858513,0.001328313651441584,0.0014350185693442672
9,AMERISAVE MORTGAGE CORPORATION,750,0.0004018028626578884,0.0011794871419301314,-0.000777684279272243
10,ASTORIA FEDERAL MTG. CORP.,4187,0.0022431314479314387,0.0008196181901671136,0.001423513257764325
11,"ATLANTIC HOME LENDING, INC",697,0.000373408793696731,0.0006898505412175846,-0.00031644174752085364
12,ATLANTIC HOME LOANS INC.,280,0.000150006402058945,0.00013906167701860971,1.0944725040335288e-05
13,AVIDIA BK,10303,0.005519699858618966,0.0014846381573314696,0.004035061701287496
14,BANC OF CA NA,1066,0.0005710958021244121,0.000395266469549573,0.0001758293325748391
15,BANGOR SVG BK,689,0.00036912289649504687,1.2014231406372675e-05,0.0003571086650886742
16,BANK OF AMER NA,53791,0.02881783704697397,0.03350528505865194,-0.004687448011677971
17,BANK OF CANTON,10940,0.005860964423303066,0.014287310038697685,-0.008426345615394619
18,BANK OF CAPE COD,490,0.00026251120360315375,0.00012158960173677313,0.00014092160186638064
19,BANK OF ENGLAND,365,0.00019554405982683904,0.00047479754276360175,-0.0002792534829367627
20,BANKGLOUCESTER,706,0.00037823042804862564,0.00011510296300938466,0.000263127465039241
21,BARRINGTON B&TC NA,1626,0.0008711086062423021,0.0013882278736655265,-0.0005171192674232244
22,BAXTER CU,490,0.00026251120360315375,0.000417830207488392,-0.00015531900388523822
23,BAYCOAST BK,831,0.0004451975718249404,0.0009332564283025717,-0.0004880588564776313
24,BELMONT SVG BK,8751,0.004688235801492242,0.005101113619859325,-0.00041287781836708316
25,BERKSHIRE BK,15393,0.008246601953190501,0.008273742571185716,-2.714061799521418e-05
26,BEVERLY BK,7324,0.003923738888141833,0.0004502459639244541,0.0034734929242173787
27,BEVERLY CO-OP BK,2266,0.0012139803823770336,0.0002609477111703441,0.0009530326712066895
28,BLUE HILLS BK,9283,0.0049732479654042375,0.008819178214714507,-0.0038459302493102695
29,BNY MELLON NA,12477,0.006684392423176632,0.0038103248247116665,0.002874067598464965
30,BOSTON FRFTRS CU,5655,0.0030295935844404788,0.0016347898941098074,0.0013948036903306713
31,BOSTON PRIVATE B&TC,41757,0.022370776181340597,0.012794092778533215,0.009576683402807382
32,BRANCH BKG&TC,1304,0.0006986012438745154,0.000992368539286031,-0.00029376729541151557
33,BRIDGEWATER SVG BK,1304,0.0006986012438745154,0.0035320096614647662,-0.002833408417590251
34,"BROKER SOLUTIONS, INC",635,0.00034019309038367887,0.0005955850332598912,-0.0002553919428762123
35,BROOKLINE BK,3353,0.0017963266646558666,0.005543495406186865,-0.0037471687415309984
36,"CALIBER HOME LOANS, INC.",2120,0.001135762758446298,0.001968729728164152,-0.0008329669697178541
37,CAMBRIDGE MTG GRP,924,0.0004950211267945186,0.0020778691684725506,-0.001582848041678032
38,CAMBRIDGE SVG BK,21299,0.01141066556233382,0.004573394172424692,0.006837271389909128
39,CAMBRIDGE TC,8439,0.004521085810626561,0.0032712188851023428,0.0012498669255242181
40,CAMDEN NB,717,0.00038412353670094133,0.0017883244478588808,-0.0014042009111579394
41,CAPE COD FIVE CENTS SVG BK,2308,0.0012364813426858753,0.002744057428095871,-0.0015075760854099958
42,CAPITAL BANK NA,204,0.00010929037864294566,7.96880080219494e-05,2.960237062099626e-05
43,CAPITAL ONE NA,608,0.00032572818732799487,0.006162812469844541,-0.005837084282516546
44,CATHAY BK,1514,0.0008111060454187241,0.00035346949904002976,0.0004576365463786944
45,CENT MTG CO D/B/A CENTURY LEND,326,0.00017465031096862885,5.684527486904924e-06,0.00016896578348172392
46,CENTREVILLE BANK,542,0.0002903695354141007,3.4612843746951755e-05,0.00025575669166714895
