,panel_name,total_loan_amt,9in10yr_loan_amt,9in100yr_loan_amt,21in10yr_loan_amt,21in100yr_loan_amt
21,ARK-LA-TEX FINANCIAL SERVICES,679,0.0,0.0,0.0,0.0
22,ASTORIA BK,1027,0.0,0.0,0.0,0.0
23,ASTORIA FEDERAL MTG. CORP.,14729,0.0,856.0,4187.0,4987.0
24,"ATLANTIC HOME LENDING, INC",4464,0.0,697.0,697.0,697.0
25,ATLANTIC HOME LOANS INC.,1781,0.0,280.0,280.0,280.0
26,AVIDIA BK,39263,0.0,8926.0,9516.0,10076.0
27,AVON CO-OP BK,1670,0.0,0.0,0.0,0.0
28,B2R FINANCE L.P.,3761,0.0,0.0,0.0,0.0
29,BAC FL BK,903,0.0,0.0,0.0,0.0
30,BANC OF CA NA,6185,0.0,1035.0,747.0,1035.0
31,BANGOR SVG BK,689,0.0,0.0,689.0,689.0
32,BANK FUND STAFF FCU,655,0.0,0.0,0.0,0.0
33,BANK OF AMER NA,653588,0.0,41285.0,51956.0,75046.0
34,BANK OF CANTON,193353,0.0,3642.0,10527.0,15675.0
35,BANK OF CAPE COD,3215,0.0,0.0,490.0,907.0
36,BANK OF EASTON,3248,0.0,0.0,0.0,0.0
37,BANK OF ENGLAND,6222,0.0,0.0,0.0,328.0
38,BANK OF ME,4873,0.0,0.0,0.0,0.0
39,BANK RHODE ISLAND,180,0.0,0.0,0.0,0.0
40,BANKGLOUCESTER,6601,0.0,706.0,706.0,2426.0
41,BARRINGTON B&TC NA,22413,0.0,0.0,1626.0,3086.0
42,BARRONS MORTGAGE GROUP,1619,0.0,0.0,0.0,0.0
43,BAXTER CU,9026,0.0,0.0,490.0,490.0
44,BAY ST SVG BK,13848,0.0,0.0,0.0,1328.0
45,BAYCOAST BK,6286,0.0,0.0,831.0,831.0
46,BCB CMNTY BK,100,0.0,0.0,0.0,0.0
47,BELMONT SVG BK,102661,0.0,3429.0,8514.0,11904.0
48,BENCHMARK BK,253,0.0,0.0,0.0,0.0
49,BERKELEY POINT CAPITAL,35984,0.0,0.0,0.0,0.0
50,BERKSHIRE BK,168981,0.0,9497.0,15058.0,27672.0
51,BETHPAGE FCU,380,0.0,0.0,0.0,0.0
52,BEVERLY BK,22717,0.0,6567.0,7324.0,10661.0
53,BEVERLY CO-OP BK,14385,0.0,680.0,2266.0,3141.0
54,BLUE HILLS BK,203379,0.0,3808.0,9283.0,17688.0
55,BMI FCU,432,0.0,0.0,0.0,0.0
56,BMO HARRIS BK NA,950,0.0,0.0,0.0,950.0
57,BNY MELLON NA,111079,0.0,6179.0,12477.0,16242.0
58,BOFI FED BK,8953,0.0,0.0,0.0,0.0
59,BOKF NA,3246,0.0,0.0,0.0,597.0
60,BOSTON FRFTRS CU,59678,0.0,1310.0,5655.0,6930.0
61,BOSTON PRIVATE B&TC,418113,1606.0,34507.0,40656.0,86897.0
62,BRAINTREE CO-OP BK,4448,0.0,0.0,0.0,0.0
63,BRANCH BKG&TC,12982,0.0,825.0,1304.0,1914.0
64,BRIDGEVIEW BANK MTG COMP LLC,752,0.0,0.0,0.0,0.0
65,BRIDGEWATER CU,1023,0.0,0.0,0.0,0.0
66,BRIDGEWATER SVG BK,9878,0.0,0.0,1304.0,2172.0
67,BRISTOL CTY SVG BK,7190,0.0,0.0,0.0,300.0
68,"BROKER SOLUTIONS, INC",6159,0.0,635.0,635.0,635.0
69,BROOKLINE BK,188880,0.0,2360.0,3203.0,6467.0
70,"CALIBER HOME LOANS, INC.",26986,0.0,1055.0,2120.0,3369.0
71,CAMBRIDGE MTG GRP,11944,0.0,0.0,924.0,1464.0
72,CAMBRIDGE PORTUGUESE CU,330,0.0,0.0,0.0,0.0
73,CAMBRIDGE SVG BK,159872,768.0,20165.0,21299.0,28659.0
74,CAMBRIDGE TC,102257,0.0,6411.0,8154.0,12978.0
75,CAMDEN NB,9737,0.0,280.0,280.0,809.0
76,CAPE ANN SVG BK,2025,0.0,0.0,0.0,394.0
77,CAPE COD CO-OP BK,3001,0.0,0.0,0.0,0.0
78,CAPE COD FIVE CENTS SVG BK,14772,0.0,1390.0,2308.0,2308.0
79,CAPITAL BANK NA,541,0.0,0.0,204.0,204.0
80,CAPITAL ONE NA,243063,0.0,0.0,608.0,1136.0
81,CATHAY BK,8404,0.0,611.0,1514.0,1514.0
82,CBC NB,6385,0.0,0.0,0.0,672.0
83,CENT MTG CO D/B/A CENTURY LEND,326,0.0,326.0,326.0,326.0
84,CENTRAL ONE FED CU,3053,0.0,0.0,0.0,0.0
85,CENTREVILLE BANK,959,0.0,542.0,542.0,542.0
86,CENTURY B&TC,56931,0.0,4018.0,5705.0,15860.0
87,CERTUSBANK NA,370,0.0,0.0,0.0,0.0
88,CHARLES RIVER BK,1361,0.0,0.0,0.0,0.0
89,CHARLES SCHWAB BK,25558,0.0,1423.0,1423.0,2423.0
90,CHELSEA BK,1332,0.0,0.0,0.0,150.0
91,CHEMUNG CANAL TC,701,0.0,0.0,0.0,0.0
92,CHICOPEE SVG BK,560,0.0,0.0,0.0,0.0
93,CIT BK NA,1007,0.0,0.0,0.0,0.0
94,CITIBANK NA,277478,0.0,12133.0,11816.0,22782.0
95,CITIZENS BK NA,197867,912.0,6449.0,15430.0,23436.0
96,"CITIZENS BK, NA",69835,0.0,2612.0,8965.0,11085.0
97,CITIZENS NB OF GREATER STL,168,0.0,0.0,0.0,0.0
98,CITY NB,853,0.0,353.0,353.0,353.0
99,CITY OF BOSTON CU,80377,0.0,1137.0,4106.0,5931.0
100,CLEARVIEW FCU,270,0.0,0.0,0.0,0.0
101,CLINTON SVG BK,27672,0.0,231.0,231.0,231.0
102,CNB MORTGAGE COMPANY,288,0.0,0.0,0.0,0.0
103,COASTAL HERITAGE BANK,2602,0.0,0.0,0.0,510.0
104,COASTAL HERITAGE BK,5908,0.0,0.0,622.0,622.0
105,COASTWAY CMNTY BK,19679,0.0,2005.0,2788.0,4846.0
106,COLE TAYLOR BK,6335,0.0,225.0,225.0,225.0
107,COLONIAL FSB,4001,0.0,0.0,1750.0,1750.0
108,COLONIAL SVG FA,177,0.0,0.0,0.0,0.0
109,COLORADO FSB,1430,0.0,0.0,0.0,0.0
110,COMERICA BK,7268,0.0,0.0,0.0,0.0
111,COMMERCE B&TC,46584,0.0,2609.0,2609.0,3324.0
112,COMMERCE BK,400,0.0,0.0,0.0,0.0
113,COMMONWEALTH CO-OP BK,35822,642.0,1912.0,3932.0,4455.0
114,"COMMONWEALTH MORTGAGE, LLC",48987,0.0,835.0,2441.0,5182.0
115,COMMUNITY CU OF LYNN,1520,0.0,0.0,0.0,0.0
116,COMMUNITY FSB,6749,0.0,0.0,0.0,269.0
117,COMPASS BK,879,0.0,0.0,0.0,0.0
118,CONGRESSIONAL BK,1263,0.0,0.0,0.0,316.0
119,CONNECTICUT HOME MORTGAGE,373,0.0,0.0,373.0,373.0
120,CONNEXUS CU,344,0.0,0.0,0.0,52.0
121,"CONTINENTAL HOME LOANS, INC",1412,0.0,0.0,0.0,0.0
122,CONTOUR MORTGAGE CORPORATION,308,0.0,0.0,0.0,0.0
123,COOPERATIVE BK,128513,0.0,740.0,1240.0,14488.0
124,"CORTRUST MORTGAGE, INC.",417,0.0,0.0,0.0,0.0
125,COUNTRY BK FOR SVG,370,0.0,0.0,0.0,0.0
126,COVENTRY CU,1772,0.0,0.0,0.0,0.0
127,CRESCENT CU,3212,0.0,0.0,0.0,0.0
128,CRESCENT MTG CO,5923,0.0,0.0,0.0,0.0
129,CROSSCOUNTRY MORTGAGE INC.,19529,0.0,439.0,439.0,2350.0
130,CUSTOMERS BK,19700,0.0,0.0,3850.0,3850.0
131,DB PRIVATE WEALTH MORTGAGE,10988,0.0,0.0,0.0,2813.0
132,DEAN CO-OP BK,1162,0.0,0.0,325.0,325.0
133,DEDHAM INST FOR SVG,133100,0.0,5608.0,6790.0,8380.0
134,DEVON BK,300,0.0,0.0,0.0,0.0
135,DIGITAL FCU,176930,49.0,12750.0,21625.0,33024.0
136,DIRECT FED CU,14704,0.0,0.0,0.0,396.0
137,DISCOVER HOME LOANS,10991,0.0,875.0,0.0,1584.0
138,DITECH FINANCIAL LLC,62445,154.0,2666.0,5657.0,8202.0
139,DITECH MORTGAGE CORP,8061,0.0,599.0,835.0,835.0
140,DOLLAR BK FSB,880,0.0,0.0,0.0,0.0
141,DRAPER AND KRAMER MORTGAGE COR,1630,0.0,0.0,0.0,1630.0
142,"DREW MORTGAGE ASSOCIATES, INC.",11729,0.0,767.0,1450.0,2168.0
143,"E MORTGAGE MANAGEMENT, LLC",8607,0.0,0.0,461.0,931.0
144,EAGLE BK,8082,0.0,800.0,800.0,1499.0
145,EAST BOSTON SAVINGS BANK,237778,875.0,19082.0,25768.0,64721.0
146,EAST BOSTON SVG BK,374095,2629.0,70392.0,91944.0,108944.0
147,EAST CAMBRIDGE SVG BK,84680,0.0,2384.0,5158.0,13637.0
148,EAST WEST BK,25227,0.0,0.0,775.0,1903.0
149,EASTERN BK,342480,0.0,14086.0,21981.0,36554.0
150,EASTHAMPTON SVG BK,1235,0.0,871.0,259.0,871.0
151,EDISON NB,523,0.0,0.0,523.0,523.0
152,"EMBRACE HOME LOANS, INC.",20533,0.0,0.0,1406.0,1406.0
153,EMIGRANT FUNDING CORP,2715,0.0,300.0,300.0,1340.0
154,"EMIGRANT MORTGAGE COMPANY, INC",2520,0.0,1727.0,1727.0,1727.0
155,EMPLOYERS REASSURANCE CORP,2050,0.0,0.0,0.0,0.0
156,ENERGY CU,2208,0.0,0.0,0.0,0.0
157,ENTERPRISE B&TC,16153,0.0,0.0,854.0,1894.0
158,"ENVOY MORTGAGE, LTD",16445,0.0,665.0,1888.0,2607.0
159,EQUITABLE BANK,2066,0.0,0.0,976.0,976.0
160,EQUITABLE CO-OP BK,356,0.0,0.0,0.0,0.0
161,"EQUITY LOANS, LLC",2438,0.0,0.0,386.0,386.0
162,EVERBANK,65790,0.0,3502.0,5314.0,7406.0
163,EVERENCE FCU,254,0.0,0.0,0.0,0.0
164,EVERETT CO-OP BK,35348,0.0,4740.0,7041.0,18036.0
165,EVOLVE B&TC,5370,0.0,375.0,375.0,672.0
166,FAIRWAY INDP MORTGAGE CORP,326321,195.0,11822.0,30784.0,42651.0
167,FALL RIVER FIVE CENTS SVGS BK,1170,0.0,0.0,0.0,0.0
168,FAMILY FED SVG,530,0.0,0.0,0.0,0.0
169,FARMERS B&TC,290,0.0,0.0,0.0,0.0
170,FARMINGTON BK,16500,0.0,1251.0,2216.0,3660.0
171,"FBC MORTGAGE, LLC",125232,0.0,4254.0,8899.0,13544.0
172,FEARON FINANCIAL LLC,560,0.0,0.0,0.0,0.0
173,FEDERAL SVGS BK,7839,0.0,0.0,209.0,209.0
174,FFC MORTGAGE CORP,1221,0.0,0.0,0.0,0.0
175,FIDELITY CO-OP BK,10595,0.0,896.0,1646.0,1856.0
176,FIFTH THIRD MTG CO,9092,0.0,248.0,248.0,1028.0
177,FINANCE OF AMERICA MORTGAGE,19141,0.0,766.0,2006.0,2006.0
178,FIRST AMERICAN MORTGAGE TRUST,6033,0.0,0.0,0.0,0.0
179,FIRST BK,556,0.0,0.0,0.0,0.0
180,FIRST CHOICE LOAN SERVICES INC,1940,0.0,355.0,355.0,355.0
181,FIRST CITIZENS FCU,132,0.0,0.0,0.0,0.0
182,FIRST COMMONS BK NA,67782,0.0,1544.0,13798.0,15506.0
183,FIRST FED BK OF FL,756,0.0,0.0,0.0,0.0
184,FIRST FSB OF BOSTON,31033,0.0,2080.0,2889.0,4299.0
185,FIRST GUARANTY MORTGAGE CORP,4557,0.0,382.0,382.0,382.0
186,FIRST HOME MORTGAGE CORPORATIO,32544,0.0,2134.0,3223.0,4136.0
187,FIRST INTERNET BK IN,3342,0.0,385.0,809.0,1084.0
188,FIRST IPSWICH BK,8601,0.0,400.0,400.0,867.0
