,panel_name,total_loan_amt,9in10yr_loan_amt,9in100yr_loan_amt,21in10yr_loan_amt,21in100yr_loan_amt
276,M&T RLTY CAP CORP,28009,0.0,0.0,0.0,0.0
277,MACHIAS SVG BK,505,0.0,0.0,0.0,0.0
278,MACKINAC SVG BK FSB,3985,0.0,0.0,0.0,0.0
279,MAGNOLIA BK,889,0.0,0.0,0.0,285.0
280,MANSFIELD CO-OP BK,28376,0.0,780.0,3105.0,3105.0
281,MANUFACTURERS & TRADERS TC,66305,0.0,810.0,810.0,1036.0
282,MARBLEHEAD BK,493,0.0,0.0,0.0,0.0
283,MARLBOROUGH SVG BK,1255,0.0,0.0,0.0,0.0
284,MARTHA'S VINEYARD SB,1388,0.0,0.0,0.0,0.0
285,MASS BAY CU,6846,0.0,0.0,65.0,270.0
286,MASSACHUSETTS INST TECH FC,1250,0.0,0.0,0.0,175.0
287,MASSMUTUAL FCU,535,0.0,0.0,0.0,0.0
288,MAVERICK FUNDING,4761,0.0,0.0,0.0,0.0
289,MB FNCL BK NA,20579,0.0,1226.0,1965.0,3516.0
290,MECHANICS CO-OP BK,14416,0.0,1541.0,1541.0,1541.0
291,MEETINGHOUSE BK,96626,0.0,2031.0,8265.0,8895.0
292,MELROSE CO-OP BK,11973,0.0,1050.0,3050.0,3050.0
293,"MEMBERS MORTGAGE COMPANY, INC.",48033,0.0,2983.0,4506.0,7984.0
294,MEMBERS PLUS CU,8384,0.0,0.0,314.0,566.0
295,MERIDIAN BK,779,0.0,0.0,779.0,779.0
296,MERRIMACK MORTGAGE COMPANY,44615,0.0,362.0,3382.0,3952.0
297,MERRIMACK VALLEY FCU,4428,0.0,0.0,0.0,1698.0
298,METRO CU,108269,375.0,5152.0,6350.0,13893.0
299,METROPOLITAN HOME MORTGAGE,993,0.0,0.0,0.0,364.0
300,"MID AMERICA MORTGAGE, INC",388,0.0,0.0,0.0,0.0
301,MID-ISLAND MORTGAGE CORP.,11406,0.0,0.0,817.0,817.0
302,MIDDLESEX FED SVG FA,18822,0.0,431.0,431.0,2681.0
303,MIDDLESEX SVG BK,57258,0.0,3614.0,4322.0,6030.0
304,MIDFIRST BK,585,0.0,0.0,0.0,0.0
305,MIDWEST CMNTY BK,507,0.0,0.0,0.0,0.0
306,"MILEND, INC.",4969,0.0,0.0,288.0,288.0
307,MILFORD FS&LA,2398,0.0,0.0,0.0,451.0
308,MILFORD NB&TC,2000,0.0,0.0,0.0,0.0
309,MILITARY FAMILY HOME LOANS,713,0.0,0.0,0.0,260.0
310,MILLBURY FCU,485,0.0,0.0,0.0,0.0
311,MILLBURY SVG BK,1160,0.0,0.0,0.0,0.0
312,MLD MORTGAGE INC.,1208,0.0,0.0,0.0,0.0
313,"MMS MORTGAGE SERVICES, LTD.",218,0.0,0.0,0.0,0.0
314,MONSON SVG BK,1207,0.0,0.0,0.0,0.0
315,MORGAN STANLEY PRIV BK NA,112239,0.0,7527.0,9824.0,16058.0
316,MORTGAGE EQUITY PARTNERS,25961,0.0,753.0,1203.0,1787.0
317,"MORTGAGE FINANCIAL SERVICES,IN",46180,0.0,2278.0,6685.0,9902.0
318,MORTGAGE LENDERS OF AMERICA,1165,0.0,0.0,0.0,0.0
319,"MORTGAGE MASTER, INC.",187245,0.0,9868.0,14683.0,21662.0
320,"MORTGAGE NETWORK, INC",210835,0.0,10885.0,18209.0,26367.0
321,"MORTGAGE RESEARCH CENTER, LLC",7291,0.0,0.0,345.0,775.0
322,MOUNTAINONE BK,93935,2575.0,7417.0,14863.0,17663.0
323,"MOVEMENT MORTGAGE, LLC",2318,0.0,417.0,417.0,417.0
324,MSA MORTGAGE LLC,193754,1111.0,18526.0,28580.0,51063.0
325,MUTUAL BK,3608,0.0,0.0,0.0,876.0
326,MUTUAL FIRST FCU,14391,0.0,2374.0,3162.0,9636.0
327,MUTUALONE BK,30088,0.0,0.0,4560.0,5835.0
328,MWABANK,568,0.0,0.0,0.0,0.0
329,NATIONAL BK OF KANSAS CITY,1217,0.0,0.0,0.0,0.0
330,NATIONS LENDING CORPORATION,2290,0.0,587.0,587.0,587.0
331,NATIONSTAR MORTGAGE LLC,40046,0.0,1168.0,2883.0,3925.0
332,NATIONWIDE ADVANTAGE MORTGAGE,276,0.0,0.0,0.0,0.0
333,NAVEO CU,1927,0.0,0.0,0.0,0.0
334,NAVIGANT CU,2307,0.0,0.0,0.0,674.0
335,NAVY FCU,14196,0.0,1055.0,1380.0,1387.0
336,NBKC BK,667,0.0,0.0,0.0,350.0
337,NBT BK NA,280,0.0,0.0,0.0,0.0
338,NCB FSB,800,0.0,0.0,0.0,0.0
339,NE MOVES MORTGAGE,45593,0.0,1265.0,2599.0,3875.0
340,NEEDHAM BK,287129,0.0,7028.0,14814.0,19570.0
341,NESC FCU,204,0.0,0.0,0.0,0.0
342,NETWORK CAPITAL FUNDING GROUP,2888,0.0,0.0,0.0,0.0
343,"NETWORK FUNDING, L.P.",621,0.0,0.0,0.0,0.0
344,NEW ENGLAND FCU,1492,0.0,0.0,0.0,0.0
345,NEW ENGLAND REGIONAL MORTGAGE,470,0.0,470.0,470.0,470.0
346,NEW ENGLAND TEAMSTERS FCU,627,0.0,0.0,0.0,400.0
347,NEW FED MORTGAGE CORP,46314,0.0,2462.0,4216.0,9086.0
348,NEW PENN FINANCIAL LLC,30777,0.0,1707.0,3363.0,3937.0
349,NEW YORK CMNTY BK,23057,0.0,1190.0,2243.0,2643.0
350,NEWBURYPORT FIVE CNT SVG BK,2226,0.0,0.0,0.0,0.0
351,"NEWDAY FINANCIAL, LLC",7358,0.0,0.0,1399.0,1399.0
352,NEXBANK SSB,560,0.0,0.0,0.0,0.0
353,"NFC MORTGAGE COMPANY, LLC",5452,0.0,0.0,565.0,565.0
354,"NFM, INC",1910,0.0,202.0,202.0,202.0
355,NORCOM MORTGAGE,15620,0.0,545.0,1237.0,1237.0
356,NORTH AMER SVG BK FSB,6141,0.0,752.0,752.0,1907.0
357,NORTH BROOKFIELD SVG BK,1161,0.0,0.0,0.0,0.0
358,NORTH CAMBRIDGE CO-OP BK,1228,0.0,0.0,0.0,0.0
359,NORTH EASTON SVG BK,1177,0.0,0.0,450.0,450.0
360,NORTH MIDDLESEX SVG BK,5246,0.0,0.0,0.0,0.0
361,NORTH SHORE BK A CO-OP BK,10522,0.0,1788.0,1788.0,1788.0
362,NORTHEAST BK,5029,0.0,928.0,813.0,1940.0
363,NORTHEAST CMNTY BK,8369,0.0,0.0,0.0,0.0
364,"NORTHEAST HOME LOAN, LLC",15484,0.0,0.0,0.0,204.0
365,NORTHERN B&TC,54839,0.0,3032.0,4106.0,9958.0
366,NORTHERN TC,17535,0.0,0.0,0.0,175.0
367,NORTHMARK BK,6273,0.0,516.0,516.0,2143.0
368,"NORTHPOINT MORTGAGE, INC.",5640,0.0,0.0,276.0,640.0
369,NORTHPOINTE BK,1566,0.0,641.0,641.0,965.0
370,NORWOOD CO-OP BK,26482,0.0,286.0,286.0,533.0
371,NOTRE DAME FCU,455,0.0,0.0,0.0,0.0
372,NRL FCU,225,0.0,0.0,0.0,0.0
373,NYCB MORTGAGE COMPANY LLC,16543,0.0,616.0,616.0,1757.0
374,OCEANSIDE MORTGAGE COMPANY,1769,0.0,0.0,0.0,0.0
375,"OCMBC, INC",1127,0.0,0.0,0.0,0.0
376,"OCWEN LOAN SERVICING, LLC",69979,0.0,2035.0,4838.0,5760.0
377,ONEUNITED BK,4419,0.0,0.0,0.0,0.0
378,OPTIMA B&TC,244,0.0,244.0,244.0,244.0
379,PACIFIC UNION FINANCIAL LLC,20114,0.0,1363.0,3198.0,4016.0
380,PARAMOUNT RESIDENTIAL MORTGAGE,2936,0.0,323.0,323.0,792.0
381,PARKSIDE LENDING LLC,3521,0.0,0.0,0.0,0.0
382,PATHFINDER BK,660,0.0,660.0,660.0,660.0
383,PATRIOT COMNTY BK,47234,0.0,4189.0,4352.0,7718.0
384,PENNYMAC LOAN SERVICES LLC,6354,0.0,0.0,0.0,0.0
385,PENTAGON FCU,2625,0.0,272.0,388.0,418.0
386,PENTUCKET BK,980,0.0,0.0,0.0,0.0
387,PEOPLES BK,10644,0.0,0.0,0.0,0.0
388,PEOPLES FSB,23939,0.0,0.0,0.0,0.0
389,PEOPLES NB,212,0.0,0.0,0.0,0.0
390,PEOPLES UNITED BK,207454,0.0,8479.0,16958.0,25508.0
391,PEOPLES UNITED BK NA,141942,0.0,5625.0,11979.0,19517.0
392,PEOPLESBANK,10265,0.0,7500.0,7500.0,7640.0
393,PERL MORTGAGE,3507,0.0,0.0,0.0,0.0
394,PHH HOME LOANS LLC,31759,0.0,1593.0,3636.0,5197.0
395,PHH MORTGAGE CO,11984,0.0,1241.0,1374.0,1975.0
396,PILGRIM BK,29580,0.0,2220.0,2735.0,6766.0
397,"PLAZA HOME MORTGAGE, INC.",30507,0.0,282.0,1201.0,1618.0
398,PMAC LENDING SERVICES INC,23029,0.0,1870.0,2125.0,3910.0
399,PNC BK NA,136110,0.0,1000.0,1941.0,1941.0
400,"POLI MORTGAGE GROUP, INC",57897,0.0,1674.0,3109.0,3911.0
401,POLICE FCU,408,0.0,0.0,0.0,0.0
402,POLISH NAT CU,817,0.0,0.0,0.0,0.0
403,PREFERRED BUSINESS EXCHANGE,46,0.0,0.0,0.0,0.0
404,PREMIA MORTGAGE LLC,1678,0.0,0.0,0.0,0.0
405,PRESIDENTIAL BK FSB,3335,0.0,0.0,1459.0,1459.0
406,PRIMARY RESIDENTIAL MORTGAGE,14089,0.0,392.0,1265.0,2058.0
407,PRIME ALLI BK,825,0.0,0.0,0.0,0.0
408,PRIMELENDING A PLAINSCAPITAL C,55947,618.0,6996.0,9909.0,19137.0
409,PRIVATE BK OF BUCKHEAD,236,0.0,236.0,236.0,236.0
410,PROFICIO BK,326,0.0,0.0,0.0,0.0
411,"PROSPECT MORTGAGE, LLC",290293,0.0,26770.0,40242.0,54619.0
412,"PROVIDENT FUNDING ASSOCIATES,",16903,0.0,0.0,0.0,0.0
413,PROVIDENT FUNDING GROUP INC,2468,0.0,0.0,0.0,648.0
414,PROVINCE MORTGAGE ASSOCIATES,1826,0.0,353.0,353.0,733.0
415,"PRYSMA LENDING GROUP, LLC",345,0.0,0.0,0.0,0.0
416,QUAD CITY B&TC,350,0.0,0.0,0.0,0.0
