,panel_name,loan_amount,originations,banksize
612,SUNTRUST MTG,45073,136,2
613,T D BK NA,247635,573,2
614,TALMER B&TC,940,2,3
615,TAUNTON FCU,5244,25,3
616,TBI MORTGAGE COMPANY,50336,77,2
617,TEWKSBURY FCU,100,1,3
618,THE MONEY SOURCE,17782,59,3
619,THIRD FS&LA,20190,77,3
620,THRIVENT FCU,155,1,3
621,TIAA-CREF TC FSB,15908,43,3
622,TIDEWATER MORT. SERVICES INC,11642,37,3
623,TOP FLITE FINANCIAL,1131,4,3
624,"TOTAL MORTGAGE SERVICES, LLC",19432,61,3
625,TOWER FCU,430,2,3
626,TOWNE MORTGAGE COMPANY,259,1,3
627,TOYOTA FNCL SVG BK,4230,2,3
628,TRANSPORTATION FCU,85,3,3
629,TREMONT CU,23374,88,3
630,TRIANGLE CU,1000,1,3
631,TRIUMPH BK,179,1,3
632,U S BK NA,223141,649,2
633,UBS AG TAMPA BR,2064,8,3
634,UBS BK USA,79028,79,2
635,UKRAINIAN FCU,2883,13,3
636,UKRAINIAN SELFRELIANCE FCU,369,1,3
637,UMASSFIVE COLLEGE FCU,2246,18,3
638,UMB BK NA,1497,3,3
639,UNIBANK FOR SVG,41234,98,2
640,UNIFY FINANCIAL CREDIT UNION,1237,6,3
641,UNION YES FCU,2302502,5700,1
642,UNITED BANK MORTGAGE CORP,504,1,3
643,UNITED BK,76705,138,2
644,UNITED NATIONS FCU,1721,7,3
645,UNITED SHORE FINANCIAL SERVICE,416140,1345,2
646,UNITED ST SENATE EMPL FCU,227,5,3
647,"UNIVERSAL AMERICAN MTG CO.,LLC",856,2,3
648,UNIVERSITY ISLAMIC FINANCIAL,908,3,3
649,"URBAN FINANCIAL GROUP, INC.",1012,6,3
650,US MORTGAGE CORPORATION,1408,5,3
651,USAA FSB,148350,435,2
652,USALLIANCE FCU,39026,79,2
653,VANDYK MORTGAGE CORPORATION,105,1,3
654,VANGUARD FUNDING LLC,3175,10,3
655,VELOCITY COMMERCIAL CAPITAL,8980,34,3
656,VILLAGE BK,157801,170,2
657,VILLAGE MORTGAGE COMPANY,99753,314,2
658,WAKEFIELD CO-OP BK,27066,38,3
659,"WALKER & DUNLOP, LLC",227477,16,2
660,WALPOLE CO-OP BK,147198,278,2
661,WASHINGTON SVG BK,3149,7,3
662,WASHINGTON TC,4128,29,3
663,WASHINGTON TC OF WESTERLY,9887,28,3
664,WASHINGTON TR MTG CO LLC,439205,1094,2
665,"WATERMARK CAPITAL, INC.",10411,21,3
666,WATERSTONE BK,1366,1,3
667,WATERSTONE MORTGAGE CORP.,3105,7,3
668,WATERTOWN SVG BK,20439,47,3
669,WAVE FCU,363,2,3
670,WEBSTER BK NA,465199,915,2
671,WEBSTER FIRST FCU,16989,62,3
672,WEBSTER FIVE CENTS SVG BK,56735,83,2
673,WEI MORTGAGE CORPORATION,1276,4,3
674,WEICHERT FINANCIAL SERVICES,5800,16,3
675,WELLESLEY BK,305608,423,2
676,WELLS FARGO BK NA,2093657,4089,1
677,WEST TOWN B&TC,1418,4,3
678,WEST TOWN BANK & TRUST,1211,4,3
679,WESTERN FCU,1473,2,3
680,WESTSTAR MORTGAGE INC,6090,21,3
681,WEYMOUTH BK,36045,464,2
682,WHITNEY BK,1200,1,3
683,WILLAMETTE VALLEY BK,319,1,3
684,"WILLIAM RAVEIS MORTGAGE, LLC",250155,735,2
685,WILMINGTON SVG FUND SCTY FSB,1839,5,3
686,WINCHESTER CO-OP BK,31543,74,2
687,WINCHESTER SVG BK,24319,46,3
688,WINGS FNCL CU,1305,5,3
689,WINTER HILL BK,43904,95,2
690,WORCESTER CU,110,1,3
691,WORKERS CU,9247,32,3
692,WRENTHAM CO-OP BK,26752,235,3
693,WRIGHT PATMAN CONGRSSIONAL FCU,432,1,3
694,XCEED FNCL CU,145,1,3
