,panel_name,loan_amount,originations,banksize
376,MB FNCL BK NA,101261,324,2
377,MEADOWBROOK FINANCIAL MORTGAGE,161,1,3
378,MECHANICS CO-OP BK,42257,139,2
379,MEETINGHOUSE BK,208993,677,2
380,MELROSE CO-OP BK,16280,16,3
381,"MEMBER ADVANTAGE MORTGAGE, LLC",2474,9,3
382,"MEMBERS MORTGAGE COMPANY, INC.",112948,375,2
383,MEMBERS PLUS CU,33893,160,2
384,MERCHANTS BK,240,1,3
385,MERIDIAN BK,779,2,3
386,MERIDIAN RESIDENTIAL CAPITAL,275,1,3
387,MERRIMACK MORTGAGE COMPANY,325717,1007,2
388,MERRIMACK VALLEY FCU,7180,24,3
389,METRO CU,273332,860,2
390,METROPOLITAN HOME MORTGAGE,11220,40,3
391,METROWEST CMNTY FCU,827,9,3
392,"MID AMERICA MORTGAGE, INC",1161,4,3
393,MID-ISLAND MORTGAGE CORP.,38287,118,2
394,MIDCOUNTRY BK,1050,1,3
395,MIDDLESEX FED SVG FA,27507,46,3
396,MIDDLESEX SVG BK,228128,558,2
397,MIDFIRST BK,629,2,3
398,MIDWEST CMNTY BK,1508,5,3
399,"MILEND, INC.",33942,117,2
400,MILFORD FS&LA,44071,201,2
401,MILFORD NB&TC,9368,29,3
402,MILITARY FAMILY HOME LOANS,2164,7,3
403,MILL CITY CU,364,2,3
404,MILLBURY FCU,1841,4,3
405,MILLBURY NB,350,1,3
406,MILLBURY SVG BK,1635,4,3
407,MILLENNIUM BK,615,2,3
408,MLD MORTGAGE INC.,5558,16,3
409,"MMS MORTGAGE SERVICES, LTD.",1225,5,3
410,MONSON SVG BK,4064,10,3
411,MORGAN STANLEY PRIV BK NA,237837,322,2
412,MORTGAGE EQUITY PARTNERS,70327,205,2
413,"MORTGAGE FINANCIAL SERVICES,IN",188891,568,2
414,MORTGAGE LENDERS OF AMERICA,9586,31,3
415,"MORTGAGE MASTER, INC.",510220,1636,1
416,"MORTGAGE NETWORK, INC",599129,1852,1
417,"MORTGAGE RESEARCH CENTER, LLC",83797,276,2
418,"MORTGAGE SERVICES III, L.L.C.",243,1,3
419,MORTGAGE SOLUTIONS OF COLORADO,617,3,3
420,MOUNTAINONE BK,198984,429,2
421,"MOVEMENT MORTGAGE, LLC",21226,69,3
422,MSA MORTGAGE LLC,502066,1436,2
423,MUTUAL BK,114561,734,2
424,MUTUAL FIRST FCU,25675,21,3
425,MUTUAL OMAHA BK,998,1,3
426,MUTUALONE BK,73246,127,2
427,MWABANK,568,1,3
428,NAPUS FCU,270,1,3
429,NASA FCU,640,1,3
430,NATIONAL BK OF KANSAS CITY,9354,30,3
431,NATIONAL GRAND BK OF MARBLEH,259,1,3
432,"NATIONS DIRECT MORTGAGE, LLC",8070,25,3
433,NATIONS LENDING CORPORATION,15372,55,3
434,NATIONSTAR MORTGAGE LLC,149675,627,2
435,NATIONWIDE ADVANTAGE MORTGAGE,276,1,3
436,NATIONWIDE BK,607,2,3
437,NAVEO CU,5931,40,3
438,NAVIGANT CU,11837,51,3
439,NAVY FCU,86466,283,2
440,NBKC BK,7842,21,3
441,NBT BK NA,280,1,3
442,NCB FSB,800,1,3
443,NE MOVES MORTGAGE,248443,806,2
444,NEEDHAM BK,996480,1450,1
445,NESC FCU,533,3,3
446,NETWORK CAPITAL FUNDING GROUP,7927,31,3
447,"NETWORK FUNDING, L.P.",7104,24,3
448,NEW BEDFORD CU,1404,15,3
449,NEW ENGLAND FCU,3715,14,3
450,NEW ENGLAND REGIONAL MORTGAGE,3384,12,3
451,NEW ENGLAND TEAMSTERS FCU,2328,21,3
452,NEW FED MORTGAGE CORP,189580,596,2
453,NEW PENN FINANCIAL LLC,139600,429,2
454,NEW YORK CMNTY BK,101852,306,2
455,NEWBURYPORT FIVE CNT SVG BK,4575,10,3
456,"NEWDAY FINANCIAL, LLC",30633,94,3
457,NEXBANK SSB,560,1,3
458,"NFC MORTGAGE COMPANY, LLC",31879,93,2
459,"NFM, INC",21467,70,3
460,NORCOM MORTGAGE,69992,241,2
461,NORTH AMER SVG BK FSB,31013,89,3
462,NORTH BROOKFIELD SVG BK,2416,19,3
463,NORTH CAMBRIDGE CO-OP BK,1836,5,3
464,NORTH EASTON SVG BK,53256,177,2
465,NORTH MIDDLESEX SVG BK,13436,32,3
466,NORTH SHORE BK A CO-OP BK,12518,25,3
467,NORTHEAST BK,14968,45,3
468,NORTHEAST CMNTY BK,11267,24,3
469,NORTHEAST CU,30,1,3
470,"NORTHEAST HOME LOAN, LLC",41575,88,2
471,NORTHERN B&TC,95975,157,2
