,census_tract_number,panel_name,loan_amount,rank
3521,505.0,METRO CU,1496,5.0
3543,505.0,UNION YES FCU,1419,6.0
3512,505.0,FAIRWAY INDP MORTGAGE CORP,1269,7.0
3518,505.0,GUARANTEED RATE INC.,1262,8.0
3532,505.0,PILGRIM BK,1174,9.0
3509,505.0,EASTERN BK,1100,10.0
3556,506.0,BOSTON PRIVATE B&TC,21000,1.0
3564,506.0,EAST BOSTON SVG BK,15815,2.0
3566,506.0,EASTERN BK,3750,3.0
3571,506.0,FIRST REPUBLIC BK,2852,4.0
3576,506.0,METRO CU,2354,5.0
3580,506.0,MUTUAL FIRST FCU,2159,6.0
3585,506.0,PRIMELENDING A PLAINSCAPITAL C,1820,7.0
3584,506.0,PILGRIM BK,1780,8.0
3574,506.0,GUARANTEED RATE INC.,1752,9.0
3557,506.0,CAMBRIDGE SVG BK,1719,10.0
3650,507.0,PEOPLESBANK,7500,1.0
3634,507.0,LOANDEPOT.COM,4998,2.0
3641,507.0,MSA MORTGAGE LLC,4836,3.0
3661,507.0,RESIDENTIAL MORTGAGE SERVICES,3505,4.0
3672,507.0,UNION YES FCU,3106,5.0
3630,507.0,GUARANTEED RATE INC.,2838,6.0
3604,507.0,BEVERLY BK,2705,7.0
3656,507.0,PRIMELENDING A PLAINSCAPITAL C,2572,8.0
3623,507.0,FAIRWAY INDP MORTGAGE CORP,1969,9.0
3679,507.0,WINTER HILL BK,1793,10.0
3731,509.01,MSA MORTGAGE LLC,4192,1.0
3744,509.01,PRIMELENDING A PLAINSCAPITAL C,3761,2.0
3720,509.01,GUARANTEED RATE INC.,3346,3.0
3701,509.01,DIGITAL FCU,2900,4.0
3703,509.01,EAST BOSTON SAVINGS BANK,2697,5.0
3723,509.01,LOANDEPOT.COM,2571,6.0
3752,509.01,"SALEM FIVE MORTGAGE CO., LLC",2159,7.0
3761,509.01,UNION YES FCU,1966,8.0
3704,509.01,EAST BOSTON SVG BK,1710,9.0
3715,509.01,FIRST REPUBLIC BK,1701,10.0
3807,510.0,GUARANTEED RATE INC.,4930,1.0
3788,510.0,DIGITAL FCU,3750,2.0
3842,510.0,UNION YES FCU,2945,3.0
3833,510.0,"PROSPECT MORTGAGE, LLC",2618,4.0
3820,510.0,MSA MORTGAGE LLC,2390,5.0
3791,510.0,EAST BOSTON SAVINGS BANK,2065,6.0
3848,510.0,WELLS FARGO BK NA,2021,7.0
3832,510.0,PRIMELENDING A PLAINSCAPITAL C,1892,8.0
3809,510.0,LOANDEPOT.COM,1882,9.0
3840,510.0,SANTANDER BK NA,1672,10.0
3862,511.01,BOSTON PRIVATE B&TC,12095,1.0
3881,511.01,EAST BOSTON SAVINGS BANK,11416,2.0
3922,511.01,MSA MORTGAGE LLC,9370,3.0
3954,511.01,UNION YES FCU,5798,4.0
3893,511.01,FIRST PRIORITY CU,4244,5.0
3897,511.01,GUARANTEED RATE INC.,3878,6.0
3936,511.01,PRIMELENDING A PLAINSCAPITAL C,3521,7.0
3962,511.01,WELLS FARGO BK NA,3091,8.0
3939,511.01,"QUICKEN LOANS, INC.",3061,9.0
3882,511.01,EAST BOSTON SVG BK,2575,10.0
3988,512.0,DIGITAL FCU,5840,1.0
4018,512.0,MSA MORTGAGE LLC,4975,2.0
4048,512.0,UNION YES FCU,4672,3.0
3996,512.0,FAIRWAY INDP MORTGAGE CORP,4542,4.0
4005,512.0,HINGHAM INST FOR SVG,4521,5.0
4000,512.0,FIRST REPUBLIC BK,4458,6.0
4009,512.0,LOANDEPOT.COM,4123,7.0
4003,512.0,GUARANTEED RATE INC.,3955,8.0
3987,512.0,DEDHAM INST FOR SVG,3223,9.0
3994,512.0,EASTERN BK,2869,10.0
4114,601.01,GUARANTEED RATE INC.,14729,1.0
4165,601.01,UNION YES FCU,12069,2.0
4172,601.01,WELLS FARGO BK NA,9559,3.0
4071,601.01,BOSTON PRIVATE B&TC,8656,4.0
4099,601.01,EAST BOSTON SVG BK,7489,5.0
4120,601.01,JEANNE D'ARC CU,6454,6.0
4145,601.01,PEOPLES UNITED BK NA,6295,7.0
4169,601.01,WASHINGTON TR MTG CO LLC,5569,8.0
4068,601.01,BERKSHIRE BK,5382,9.0
4103,601.01,FAIRWAY INDP MORTGAGE CORP,5071,10.0
4215,602.0,GUARANTEED RATE INC.,12969,1.0
4220,602.0,INSTITUTION SVG IN NEWBURYPORT,10152,2.0
4272,602.0,UNION YES FCU,7023,3.0
4203,602.0,EAST BOSTON SVG BK,4754,4.0
4278,602.0,WELLS FARGO BK NA,4472,5.0
4223,602.0,LOANDEPOT.COM,4413,6.0
4235,602.0,NEEDHAM BK,3759,7.0
4252,602.0,"PROSPECT MORTGAGE, LLC",3121,8.0
4256,602.0,RANDOLPH SVG BK,2905,9.0
4212,602.0,FIRST REPUBLIC BK,2774,10.0
4393,603.01,UNION YES FCU,13361,1.0
4322,603.01,FAIRWAY INDP MORTGAGE CORP,11574,2.0
4330,603.01,GUARANTEED RATE INC.,10139,3.0
4404,603.01,WELLS FARGO BK NA,8160,4.0
4338,603.01,LOANDEPOT.COM,7841,5.0
4379,603.01,RESIDENTIAL MORTGAGE SERVICES,7651,6.0
4349,603.01,MSA MORTGAGE LLC,7203,7.0
4317,603.01,EAST BOSTON SVG BK,6665,8.0
4399,603.01,WASHINGTON TR MTG CO LLC,5658,9.0
4333,603.01,HINGHAM INST FOR SVG,5544,10.0
4561,604.0,UNION YES FCU,28628,1.0
4475,604.0,GUARANTEED RATE INC.,17468,2.0
4488,604.0,LOANDEPOT.COM,14676,3.0
4425,604.0,BROOKLINE BK,9515,4.0
4453,604.0,EAST BOSTON SVG BK,9488,5.0
4540,604.0,RESIDENTIAL MORTGAGE SERVICES,9070,6.0
4461,604.0,FAIRWAY INDP MORTGAGE CORP,7753,7.0
4535,604.0,"QUICKEN LOANS, INC.",7715,8.0
4573,604.0,WELLS FARGO BK NA,7478,9.0
4411,604.0,BANK OF AMER NA,7375,10.0
4613,605.01,EAST BOSTON SAVINGS BANK,29953,1.0
4635,605.01,GUARANTEED RATE INC.,24294,2.0
4712,605.01,UNION YES FCU,23909,3.0
4614,605.01,EAST BOSTON SVG BK,22723,4.0
4723,605.01,WELLS FARGO BK NA,13877,5.0
4679,605.01,PEOPLES UNITED BK,12296,6.0
4646,605.01,LOANDEPOT.COM,11944,7.0
4641,605.01,JPMORGAN CHASE BK NA,11066,8.0
4582,605.01,BANK OF AMER NA,10530,9.0
4630,605.01,FIRST REPUBLIC BK,9331,10.0
4731,606.0,BANK OF AMER NA,27827,1.0
4840,606.0,WELLS FARGO BK NA,20233,2.0
4772,606.0,FIRST REPUBLIC BK,18543,3.0
4778,606.0,GUARANTEED RATE INC.,14791,4.0
4784,606.0,JPMORGAN CHASE BK NA,13485,5.0
4832,606.0,UNION YES FCU,11425,6.0
4742,606.0,CAMBRIDGE SVG BK,10599,7.0
4786,606.0,LOANDEPOT.COM,7240,8.0
4730,606.0,AVIDIA BK,7181,9.0
4830,606.0,UBS BK USA,6449,10.0
4991,608.0,UNION YES FCU,23811,1.0
4912,608.0,GUARANTEED RATE INC.,22553,2.0
4951,608.0,NEEDHAM BK,15307,3.0
4923,608.0,LOANDEPOT.COM,15288,4.0
4890,608.0,EAST BOSTON SAVINGS BANK,12187,5.0
4977,608.0,RESIDENTIAL MORTGAGE SERVICES,10046,6.0
4897,608.0,FAIRWAY INDP MORTGAGE CORP,9745,7.0
4974,608.0,"QUICKEN LOANS, INC.",7715,8.0
4983,608.0,SANTANDER BK NA,7413,9.0
5000,608.0,WELLS FARGO BK NA,7020,10.0
5040,610.0,GUARANTEED RATE INC.,11200,1.0
5023,610.0,EAST BOSTON SVG BK,6886,2.0
5080,610.0,UNION YES FCU,6729,3.0
5045,610.0,LOANDEPOT.COM,6575,4.0
5086,610.0,WELLS FARGO BK NA,3518,5.0
5054,610.0,MSA MORTGAGE LLC,3436,6.0
5063,610.0,"PROSPECT MORTGAGE, LLC",3232,7.0
5055,610.0,NEEDHAM BK,2701,8.0
5006,610.0,BANK OF AMER NA,2299,9.0
5031,610.0,"FBC MORTGAGE, LLC",1956,10.0
5090,611.01,EAST BOSTON SAVINGS BANK,1000,1.0
5089,611.01,CAMBRIDGE TC,800,2.0
5091,611.01,FARMINGTON BK,600,3.0
5093,611.01,FIRST REPUBLIC BK,561,4.0
5092,611.01,FIRST COMMONS BK NA,480,5.0
5097,611.01,WEBSTER FIVE CENTS SVG BK,338,6.0
5095,611.01,"QUICKEN LOANS, INC.",258,7.0
5096,611.01,RTN FCU,35,8.0
5094,611.01,MASS BAY CU,12,9.0
5248,612.0,WELLS FARGO BK NA,28201,1.0
5236,612.0,UNION YES FCU,24384,2.0
5240,612.0,"WALKER & DUNLOP, LLC",23668,3.0
5161,612.0,GUARANTEED RATE INC.,19387,4.0
5155,612.0,FIRST REPUBLIC BK,18954,5.0
5138,612.0,EAST BOSTON SVG BK,18598,6.0
5169,612.0,JPMORGAN CHASE BK NA,11739,7.0
5105,612.0,BANK OF AMER NA,11022,8.0
5174,612.0,LOANDEPOT.COM,10992,9.0
5153,612.0,FIRST COMMONS BK NA,10457,10.0
5301,701.01,FIRST REPUBLIC BK,116528,1.0
5385,701.01,WELLS FARGO BK NA,97285,2.0
5256,701.01,BANK OF AMER NA,45431,3.0
5347,701.01,PEOPLES UNITED BK,24075,4.0
5290,701.01,EAST BOSTON SVG BK,22900,5.0
5382,701.01,WEBSTER BK NA,22892,6.0
5316,701.01,JPMORGAN CHASE BK NA,21157,7.0
5328,701.01,MORGAN STANLEY PRIV BK NA,20910,8.0
5374,701.01,UNION YES FCU,19418,9.0
5317,701.01,KEYBANK NA,19240,10.0
5409,702.0,JPMORGAN CHASE BK NA,8100,1.0
5404,702.0,FIRST REPUBLIC BK,7979,2.0
5429,702.0,WELLS FARGO BK NA,6173,3.0
5426,702.0,WASHINGTON TR MTG CO LLC,3887,4.0
5392,702.0,BOSTON PRIVATE B&TC,3757,5.0
5423,702.0,UNION YES FCU,3510,6.0
5391,702.0,BERKSHIRE BK,2652,7.0
5428,702.0,WEBSTER BK NA,1590,8.0
5411,702.0,MORGAN STANLEY PRIV BK NA,1432,9.0
5396,702.0,CITIZENS BK NA,1149,10.0
5501,703.0,PNC BK NA,70049,1.0
5471,703.0,FIRST REPUBLIC BK,54857,2.0
5433,703.0,BANK OF AMER NA,40489,3.0
5528,703.0,WELLS FARGO BK NA,24032,4.0
5499,703.0,PEOPLES UNITED BK NA,15255,5.0
5479,703.0,JPMORGAN CHASE BK NA,12834,6.0
5441,703.0,BOSTON PRIVATE B&TC,12730,7.0
5451,703.0,CITIBANK NA,11399,8.0
5527,703.0,WELLESLEY BK,10385,9.0
5474,703.0,GUARANTEED RATE INC.,10099,10.0
5536,704.02,FIRST REPUBLIC BK,13025,1.0
5549,704.02,WELLS FARGO BK NA,12232,2.0
5538,704.02,GUARANTEED RATE INC.,1644,3.0
5531,704.02,BANK OF AMER NA,1254,4.0
5548,704.02,WELLESLEY BK,1207,5.0
5545,704.02,SANTANDER BK NA,1138,6.0
5539,704.02,LOANDEPOT.COM,1072,7.0
5533,704.02,BOSTON PRIVATE B&TC,1000,8.0
5537,704.02,GOLDMAN SACHS BK USA,995,9.0
5532,704.02,BNY MELLON NA,912,10.0
5597,705.0,FIRST REPUBLIC BK,65452,1.0
5667,705.0,WELLS FARGO BK NA,30374,2.0
5605,705.0,JPMORGAN CHASE BK NA,29976,3.0
5554,705.0,BANK OF AMER NA,28137,4.0
5601,705.0,HINGHAM INST FOR SVG,21669,5.0
5600,705.0,GUARANTEED RATE INC.,16606,6.0
5658,705.0,UNION YES FCU,14346,7.0
5608,705.0,LOANDEPOT.COM,13993,8.0
5633,705.0,PEOPLES UNITED BK,13767,9.0
5562,705.0,BOSTON PRIVATE B&TC,13582,10.0
5695,706.0,FIRST REPUBLIC BK,52571,1.0
5668,706.0,BANK OF AMER NA,20493,2.0
5705,706.0,JPMORGAN CHASE BK NA,17031,3.0
5749,706.0,WELLS FARGO BK NA,12617,4.0
5702,706.0,HINGHAM INST FOR SVG,12295,5.0
5676,706.0,BOSTON PRIVATE B&TC,12190,6.0
5741,706.0,UNION YES FCU,9247,7.0
5683,706.0,CITIBANK NA,6162,8.0
5700,706.0,GUARANTEED RATE INC.,6034,9.0
5706,706.0,LOANDEPOT.COM,5804,10.0
5773,707.0,FIRST REPUBLIC BK,21641,1.0
5816,707.0,WELLS FARGO BK NA,14819,2.0
5778,707.0,JPMORGAN CHASE BK NA,10396,3.0
5751,707.0,BANK OF AMER NA,7959,4.0
5785,707.0,MORGAN STANLEY PRIV BK NA,6950,5.0
5793,707.0,PEOPLES UNITED BK,5774,6.0
5809,707.0,UNION YES FCU,5756,7.0
5757,707.0,BOSTON PRIVATE B&TC,5379,8.0
5763,707.0,CITIBANK NA,5341,9.0
5774,707.0,GUARANTEED RATE INC.,5030,10.0
5855,708.0,FIRST REPUBLIC BK,31825,1.0
5862,708.0,JPMORGAN CHASE BK NA,17824,2.0
5822,708.0,BANK OF AMER NA,14022,3.0
5907,708.0,UNION YES FCU,12857,4.0
5858,708.0,HINGHAM INST FOR SVG,11208,5.0
5843,708.0,DEDHAM INST FOR SVG,9986,6.0
5856,708.0,GUARANTEED RATE INC.,9564,7.0
5913,708.0,WEBSTER BK NA,8466,8.0
5916,708.0,WELLS FARGO BK NA,7972,9.0
5827,708.0,BLUE HILLS BK,6909,10.0
6010,709.0,"WALKER & DUNLOP, LLC",21372,1.0
5954,709.0,FIRST REPUBLIC BK,17697,2.0
6019,709.0,WELLS FARGO BK NA,12696,3.0
5955,709.0,GUARANTEED RATE INC.,10677,4.0
5922,709.0,BANK OF AMER NA,10644,5.0
5962,709.0,JPMORGAN CHASE BK NA,10327,6.0
5957,709.0,HINGHAM INST FOR SVG,10315,7.0
5965,709.0,LOANDEPOT.COM,7425,8.0
5936,709.0,CITIBANK NA,5274,9.0
5983,709.0,PEOPLES UNITED BK NA,4084,10.0
6057,711.01,FIRST REPUBLIC BK,14238,1.0
6061,711.01,GUARANTEED RATE INC.,13255,2.0
6113,711.01,WELLS FARGO BK NA,11811,3.0
6065,711.01,JPMORGAN CHASE BK NA,9446,4.0
6068,711.01,LOANDEPOT.COM,7053,5.0
6105,711.01,UNION YES FCU,6733,6.0
6033,711.01,BOSTON PRIVATE B&TC,5947,7.0
6030,711.01,BERKSHIRE BK,5189,8.0
6042,711.01,CITIZENS BK NA,4810,9.0
6041,711.01,CITIBANK NA,4596,10.0
6142,712.01,FIRST REPUBLIC BK,15652,1.0
6145,712.01,GUARANTEED RATE INC.,10990,2.0
6177,712.01,WELLS FARGO BK NA,9044,3.0
6119,712.01,BANK OF AMER NA,7653,4.0
6152,712.01,LOANDEPOT.COM,7183,5.0
6150,712.01,JPMORGAN CHASE BK NA,5101,6.0
6171,712.01,UNION YES FCU,4622,7.0
6125,712.01,BOSTON PRIVATE B&TC,4465,8.0
6162,712.01,"QUICKEN LOANS, INC.",3526,9.0
6160,712.01,PEOPLES UNITED BK NA,3159,10.0
6212,801.0,UNION YES FCU,7476,1.0
6196,801.0,GUARANTEED RATE INC.,1466,2.0
6189,801.0,EAST BOSTON SVG BK,1241,3.0
6180,801.0,BANK OF AMER NA,1169,4.0
6187,801.0,COMMERCE B&TC,1025,5.0
6206,801.0,PEOPLES UNITED BK NA,981,6.0
6191,801.0,EVERETT CO-OP BK,781,7.0
6194,801.0,FIRST FSB OF BOSTON,656,8.0
6205,801.0,NEW PENN FINANCIAL LLC,641,9.0
6210,801.0,"SALEM FIVE MORTGAGE CO., LLC",638,10.0
6223,803.0,EAST BOSTON SAVINGS BANK,2400,1.0
6232,803.0,HINGHAM INST FOR SVG,1470,2.0
6230,803.0,GUARANTEED RATE INC.,1369,3.0
6241,803.0,"QUICKEN LOANS, INC.",1177,4.0
6217,803.0,BANK OF ENGLAND,1132,5.0
6228,803.0,FIRST COMMONS BK NA,1028,6.0
6222,803.0,COMMONWEALTH CO-OP BK,600,7.0
6240,803.0,"PROSPECT MORTGAGE, LLC",560,8.0
6220,803.0,CITIZENS BK NA,524,9.0
6218,803.0,BELMONT SVG BK,450,10.0
6266,804.01,NEEDHAM BK,10188,1.0
6251,804.01,CAMBRIDGE SVG BK,7625,2.0
6255,804.01,DIGITAL FCU,2579,3.0
6259,804.01,GUARANTEED RATE INC.,1144,4.0
6256,804.01,FAIRWAY INDP MORTGAGE CORP,1019,5.0
6247,804.01,BEVERLY BK,1000,6.5
6268,804.01,PEOPLES UNITED BK,1000,6.5
6252,804.01,CITIBANK NA,897,8.0
6248,804.01,BLUE HILLS BK,892,9.0
6271,804.01,"QUICKEN LOANS, INC.",734,10.0
6284,805.0,CITIBANK NA,40000,1.0
6302,805.0,UNION YES FCU,9003,2.0
6301,805.0,TREMONT CU,2312,3.0
6298,805.0,PRIMELENDING A PLAINSCAPITAL C,1935,4.0
6294,805.0,NEEDHAM BK,1714,5.0
6290,805.0,LOANDEPOT.COM,1533,6.0
6280,805.0,ABINGTON BK,1216,7.0
6293,805.0,MORTGAGE EQUITY PARTNERS,1000,8.0
6286,805.0,FAIRWAY INDP MORTGAGE CORP,810,9.5
6288,805.0,GUARANTEED RATE INC.,810,9.5
6324,806.01,NEEDHAM BK,6950,1.0
6314,806.01,EAST BOSTON SVG BK,4150,2.0
6306,806.01,BOSTON PRIVATE B&TC,3840,3.0
6325,806.01,PILGRIM BK,2600,4.0
6307,806.01,CAMBRIDGE SVG BK,2120,5.0
6313,806.01,DEDHAM INST FOR SVG,1619,6.0
6320,806.01,"MEMBERS MORTGAGE COMPANY, INC.",1371,7.0
6330,806.01,UNION YES FCU,1259,8.0
6308,806.01,CAMBRIDGE TC,975,9.0
6329,806.01,SANTANDER BK NA,923,10.0
6333,808.01,EAST BOSTON SAVINGS BANK,6500,1.0
6334,808.01,FIRST REPUBLIC BK,2538,2.0
6332,808.01,DITECH FINANCIAL LLC,132,3.0
6348,809.0,EAST BOSTON SVG BK,21208,1.0
6340,809.0,CAMBRIDGE SVG BK,9280,2.0
6378,809.0,WALPOLE CO-OP BK,7112,3.0
6361,809.0,MANSFIELD CO-OP BK,6473,4.0
6350,809.0,EASTERN BK,5528,5.0
6359,809.0,JPMORGAN CHASE BK NA,5106,6.0
6349,809.0,EAST CAMBRIDGE SVG BK,4481,7.0
6377,809.0,"WALKER & DUNLOP, LLC",3973,8.0
6357,809.0,HINGHAM INST FOR SVG,3725,9.0
6354,809.0,FIRST REPUBLIC BK,3531,10.0
6401,810.01,FIRST REPUBLIC BK,15768,1.0
6430,810.01,WEBSTER BK NA,5643,2.0
6412,810.01,NEEDHAM BK,5439,3.0
6407,810.01,JEANNE D'ARC CU,5059,4.0
6385,810.01,BANK OF CANTON,4285,5.0
6396,810.01,EAST BOSTON SVG BK,3545,6.0
6432,810.01,WINTER HILL BK,3372,7.0
6395,810.01,EAST BOSTON SAVINGS BANK,3200,8.0
6384,810.01,BANK OF AMER NA,3161,9.0
6387,810.01,BLUE HILLS BK,3073,10.0
6469,811.0,MANUFACTURERS & TRADERS TC,62000,1.0
6501,811.0,WALPOLE CO-OP BK,8104,2.0
6466,811.0,JPMORGAN CHASE BK NA,7929,3.0
6443,811.0,CAMBRIDGE SVG BK,6750,4.0
6439,811.0,BLUE HILLS BK,4462,5.0
6489,811.0,PEOPLES UNITED BK,4432,6.0
6481,811.0,NEEDHAM BK,4078,7.0
6458,811.0,FIRST REPUBLIC BK,4073,8.0
6450,811.0,DIGITAL FCU,3575,9.0
6453,811.0,EAST BOSTON SVG BK,3530,10.0
6521,812.0,GUARANTEED RATE INC.,2054,1.0
6543,812.0,UNION YES FCU,1791,2.0
6526,812.0,LOANDEPOT.COM,1740,3.0
6508,812.0,BANK OF AMER NA,1529,4.0
6515,812.0,EAST BOSTON SVG BK,1419,5.0
6519,812.0,FIRST REPUBLIC BK,1238,6.0
6546,812.0,WALPOLE CO-OP BK,1160,7.0
6511,812.0,BOSTON PRIVATE B&TC,1120,8.0
6516,812.0,EASTERN BK,1073,9.0
6535,812.0,PACIFIC UNION FINANCIAL LLC,945,10.0
6559,813.0,CUSTOMERS BK,15850,1.0
6567,813.0,FIRST REPUBLIC BK,6705,2.0
6552,813.0,BOSTON PRIVATE B&TC,4480,3.0
6562,813.0,EAST CAMBRIDGE SVG BK,4411,4.0
6557,813.0,CLINTON SVG BK,3450,5.0
6599,813.0,WEBSTER FIVE CENTS SVG BK,2680,6.0
6596,813.0,UNION YES FCU,2557,7.0
6558,813.0,COOPERATIVE BK,2324,8.0
6561,813.0,DIGITAL FCU,1586,9.0
6560,813.0,DEDHAM INST FOR SVG,1577,10.0
6635,814.0,FIRST REPUBLIC BK,8142,1.0
6612,814.0,BOSTON PRIVATE B&TC,7739,2.0
6627,814.0,EAST BOSTON SVG BK,6967,3.0
6686,814.0,UNION YES FCU,6091,4.0
6638,814.0,GUARANTEED RATE INC.,3646,5.0
6610,814.0,BEVERLY CO-OP BK,3527,6.0
6646,814.0,LOANDEPOT.COM,3146,7.0
6625,814.0,DIGITAL FCU,2950,8.0
6672,814.0,"QUICKEN LOANS, INC.",2803,9.0
6628,814.0,EASTERN BK,2751,10.0
6724,815.0,GUARANTEED RATE INC.,4089,1.0
6748,815.0,"QUICKEN LOANS, INC.",3415,2.0
6715,815.0,EAST BOSTON SVG BK,3139,3.0
6713,815.0,DIGITAL FCU,3000,4.0
6756,815.0,UNION YES FCU,2486,5.0
6712,815.0,DEDHAM INST FOR SVG,2475,6.0
6730,815.0,LOANDEPOT.COM,2137,7.0
6747,815.0,"PROSPECT MORTGAGE, LLC",1864,8.0
6719,815.0,FAIRWAY INDP MORTGAGE CORP,1652,9.0
6716,815.0,EAST CAMBRIDGE SVG BK,1583,10.0
6783,817.0,HINGHAM INST FOR SVG,2873,1.0
6816,817.0,UNION YES FCU,1638,2.0
6810,817.0,SANTANDER BK NA,1578,3.0
6772,817.0,CITY OF BOSTON CU,1357,4.0
6763,817.0,BANK OF AMER NA,1324,5.0
6765,817.0,BOSTON PRIVATE B&TC,1218,6.0
6774,817.0,DIGITAL FCU,1074,7.0
6794,817.0,METRO CU,1008,8.0
6802,817.0,NORWOOD CO-OP BK,930,9.0
6819,817.0,WELLS FARGO BK NA,885,10.0
6837,818.0,DIGITAL FCU,4622,1.0
6841,818.0,EASTERN BK,3085,2.0
6848,818.0,GUARANTEED RATE INC.,3047,3.0
6875,818.0,SANTANDER BK NA,2068,4.0
6865,818.0,ONEUNITED BK,1970,5.0
6870,818.0,"QUICKEN LOANS, INC.",1690,6.0
6877,818.0,UNION YES FCU,1581,7.0
6839,818.0,EAST BOSTON SVG BK,1393,8.0
6831,818.0,CITIBANK NA,1283,9.0
6852,818.0,LOANDEPOT.COM,1198,10.0
6919,819.0,SANTANDER BK NA,3774,1.0
6897,819.0,FIRST COMMONS BK NA,3157,2.0
6904,819.0,JPMORGAN CHASE BK NA,2982,3.0
6902,819.0,HINGHAM INST FOR SVG,2935,4.0
6901,819.0,GUARANTEED RATE INC.,2460,5.0
6907,819.0,MIDDLESEX FED SVG FA,1333,6.0
6916,819.0,RESIDENTIAL MORTGAGE SERVICES,1328,7.0
6915,819.0,"QUICKEN LOANS, INC.",1285,8.0
6914,819.0,"PROSPECT MORTGAGE, LLC",1176,9.0
6918,819.0,ROCKLAND TC,1007,10.0
6967,820.0,PNC BK NA,41535,1.0
6933,820.0,BROOKLINE BK,9100,2.0
6969,820.0,"QUICKEN LOANS, INC.",2354,3.0
6941,820.0,EASTERN BK,2106,4.0
6949,820.0,GUARANTEED RATE INC.,1702,5.0
6952,820.0,HINGHAM INST FOR SVG,1700,6.0
6965,820.0,PACIFIC UNION FINANCIAL LLC,1361,7.0
6947,820.0,FIRST REPUBLIC BK,1045,8.0
6963,820.0,NORTHEAST CMNTY BK,1001,9.0
6970,820.0,RADIUS FINANCIAL GROUP INC.,981,10.0
7003,821.0,M&T RLTY CAP CORP,2824,1.0
7001,821.0,JPMORGAN CHASE BK NA,2200,2.0
7021,821.0,UNION YES FCU,1658,3.0
6990,821.0,COOPERATIVE BK,1575,4.0
7008,821.0,NORTHEAST CMNTY BK,1400,5.0
7013,821.0,"QUICKEN LOANS, INC.",1377,6.0
7016,821.0,RTN FCU,1200,7.0
6999,821.0,GUARANTEED RATE INC.,1132,8.0
7023,821.0,WELLS FARGO BK NA,1027,9.0
7014,821.0,RADIUS BK,975,10.0
7069,901.0,"PLAZA HOME MORTGAGE, INC.",2553,1.0
7055,901.0,LOANDEPOT.COM,2431,2.0
7079,901.0,SANTANDER BK NA,2278,3.0
7045,901.0,FIRST REPUBLIC BK,2058,4.0
7026,901.0,BANK OF AMER NA,1815,5.0
7033,901.0,CITIBANK NA,1638,6.0
7025,901.0,AVIDIA BK,1500,7.0
7086,901.0,WELLS FARGO BK NA,1376,8.0
7071,901.0,"PROSPECT MORTGAGE, LLC",1303,9.0
7044,901.0,FIRST COMMONS BK NA,1250,10.0
7096,902.0,EASTERN BK,1971,1.0
7099,902.0,GUARANTEED RATE INC.,1090,2.0
7092,902.0,CITIBANK NA,882,3.0
7101,902.0,LOANDEPOT.COM,833,4.0
7089,902.0,BANK OF CANTON,828,5.0
7120,902.0,UNITED SHORE FINANCIAL SERVICE,820,6.0
7113,902.0,RADIUS FINANCIAL GROUP INC.,620,7.0
7114,902.0,RESIDENTIAL MORTGAGE SERVICES,606,8.0
7087,902.0,"1ST ALLIANCE LENDING, LLC",570,9.0
7118,902.0,U S BK NA,565,10.0
7135,903.0,EASTERN BK,1761,1.0
7165,903.0,UNION YES FCU,1734,2.0
7137,903.0,FIRST COMMONS BK NA,1616,3.0
7163,903.0,SANTANDER BK NA,1371,4.0
7130,903.0,BOSTON PRIVATE B&TC,1215,5.0
7140,903.0,FLAGSTAR BK FSB,1173,6.0
7144,903.0,GUARANTEED RATE INC.,804,7.0
7146,903.0,JPMORGAN CHASE BK NA,782,8.0
7142,903.0,GMH MORTGAGE SERVICES LLC,752,9.0
7159,903.0,"QUICKEN LOANS, INC.",655,10.0
7218,904.0,UNION YES FCU,2637,1.0
7204,904.0,NEEDHAM BK,1392,2.0
7216,904.0,SANTANDER BK NA,1390,3.0
7213,904.0,ROCKLAND TC,1126,4.0
7192,904.0,GUARANTEED RATE INC.,887,5.0
7208,904.0,"PROSPECT MORTGAGE, LLC",884,6.0
7222,904.0,WELLS FARGO BK NA,866,7.0
7177,904.0,CITIZENS BK NA,863,8.0
7184,904.0,EASTERN BK,856,9.0
7189,904.0,FIRST REPUBLIC BK,834,10.0
7249,906.0,NORWOOD CO-OP BK,1448,1.0
7247,906.0,METRO CU,1261,2.0
7231,906.0,ENTERPRISE B&TC,1250,3.0
7258,906.0,WELLESLEY BK,975,4.0
7229,906.0,EAST BOSTON SVG BK,886,5.0
7256,906.0,UNION YES FCU,797,6.0
7224,906.0,BOSTON PRIVATE B&TC,789,7.0
7248,906.0,NEEDHAM BK,785,8.0
7225,906.0,CITIZENS BK NA,756,9.0
7255,906.0,SANTANDER BK NA,739,10.0
7314,907.0,MOUNTAINONE BK,16135,1.0
7295,907.0,GUARANTEED RATE INC.,15098,2.0
7277,907.0,DEDHAM INST FOR SVG,8785,3.0
7304,907.0,LOANDEPOT.COM,7285,4.0
7356,907.0,UNION YES FCU,6486,5.0
7287,907.0,FAIRWAY INDP MORTGAGE CORP,5988,6.0
7267,907.0,BROOKLINE BK,5953,7.0
7276,907.0,COOPERATIVE BK,5938,8.0
7319,907.0,NEEDHAM BK,3827,9.0
7363,907.0,WELLS FARGO BK NA,3796,10.0
7366,909.01,KEYBANK NA,99999,1.0
7406,910.01,GUARANTEED RATE INC.,6456,1.0
7400,910.01,FAIRWAY INDP MORTGAGE CORP,5238,2.0
