panel_name,loan_amount,expectedshare
"LEADER MORTGAGE COMPANY, INC.",97556,0.0017011035690567384
FIRSTRUST SVG BK,96880,0.0016893160212618067
NORTHERN B&TC,95975,0.0016735353544653376
GOLDMAN SACHS BK USA,94758,0.0016523142809942845
BOSTON FRFTRS CU,93753,0.0016347898941098077
LIBERTY BAY CU,93462,0.0016297156686537054
"ENVOY MORTGAGE, LTD",93292,0.0016267513445040924
NAVY FCU,86466,0.0015077250112966905
MANSFIELD CO-OP BK,85857,0.001497105755960724
CROSSCOUNTRY MORTGAGE INC.,85257,0.0014866434354326781
AVIDIA BK,85142,0.0014846381573314694
"MORTGAGE RESEARCH CENTER, LLC",83797,0.0014611851221477666
BRAINTREE CO-OP BK,81493,0.0014210098113200704
FIRST COMMONS BK NA,81368,0.0014188301612100608
BARRINGTON B&TC NA,79613,0.0013882278736655265
PRIMARY RESIDENTIAL MORTGAGE,79601,0.0013880186272549658
UBS BK USA,79028,0.001378027111150682
PILGRIM BK,78332,0.0013658908193381488
FINANCE OF AMERICA MORTGAGE,78175,0.0013631531787999768
UNITED BK,76705,0.0013375204935062643
COMMERCE B&TC,76669,0.0013368927542745815
AMERICAN NEIGHBORHOOD MORTGAGE,76177,0.001328313651441584
MUTUALONE BK,73246,0.0012772052156620798
NYCB MORTGAGE COMPANY LLC,71929,0.0012542404221030192
MORTGAGE EQUITY PARTNERS,70327,0.0012263060262931366
NORCOM MORTGAGE,69992,0.001220464563998311
CRESCENT CU,67930,0.0011845090557835935
AMERISAVE MORTGAGE CORPORATION,67642,0.0011794871419301314
PHH MORTGAGE CO,67215,0.0011720414571543389
ABINGTON BK,65579,0.0011435141965145338
PULTE MORTGAGE LLC,65570,0.001143357261706613
COASTAL HERITAGE BK,64665,0.0011275765949101439
PMAC LENDING SERVICES INC,64128,0.0011182128180375428
COLONIAL FSB,63614,0.0011092500967851836
BRIDGEWATER CU,58947,0.0010278706802778668
AMERICAN FINANCIAL RESOURCES,57752,0.0010070332252261752
CHARLES SCHWAB BK,57564,0.001003755031460721
BRANCH BKG&TC,56911,0.000992368539286031
WEBSTER FIVE CENTS SVG BK,56735,0.0009892995919311375
EVERETT CO-OP BK,56447,0.0009842776780776756
SHAMROCK FINANCIAL CORP,56177,0.0009795696338400549
BAYCOAST BK,53521,0.0009332564283025718
NORTH EASTON SVG BK,53256,0.0009286355700693516
"LAKEVIEW LOAN SERVICING, LLC",50990,0.0008891228728750984
COMMONWEALTH CO-OP BK,50849,0.0008866642275510076
TBI MORTGAGE COMPANY,50336,0.0008777189434995284
HANSCOM FCU,50158,0.0008746151217428747
ARK-LA-TEX FINANCIAL SERVICES,47688,0.0008315452355690859
COASTAL HERITAGE BANK,47208,0.0008231753791466492
ASTORIA FEDERAL MTG. CORP.,47004,0.0008196181901671136
FARMINGTON BK,46735,0.000814927583130373
CHARLES RIVER BK,46053,0.0008030354121301608
COASTWAY CMNTY BK,45782,0.0007983099306916602
STONEHAMBK,45530,0.0007939157560698809
SUNTRUST MTG,45073,0.000785946955267686
SILICON VALLEY BK,44902,0.0007829651939171929
GLADEWATER NB,44370,0.0007736886030489923
MILFORD FS&LA,44071,0.0007684748799858494
WINTER HILL BK,43904,0.0007655628674388766
M&T RLTY CAP CORP,43466,0.0007579253734534031
FOXBORO FED SVGS,43216,0.000753566073233384
FIRSTBANK,42711,0.0007447602867889454
MECHANICS CO-OP BK,42257,0.0007368437975893906
"NORTHEAST HOME LOAN, LLC",41575,0.0007249516265891785
UNIBANK FOR SVG,41234,0.0007190055410890725
HSBC BK USA NA,40856,0.0007124142791564036
PENNYMAC LOAN SERVICES LLC,40128,0.0006997199969157079
FIRST CITIZENS FCU,40036,0.0006981157744347409
"ATLANTIC HOME LENDING, INC",39562,0.0006898505412175846
"NORTHPOINT MORTGAGE, INC.",39050,0.0006809226943669855
USALLIANCE FCU,39026,0.0006805042015458636
HOME LOAN INV BK FSB,38944,0.0006790743510736973
MID-ISLAND MORTGAGE CORP.,38287,0.0006676181100954871
EAST WEST BK,38248,0.0006669380592611642
DISCOVER HOME LOANS,37475,0.000653459102980865
PEOPLES BK,37440,0.0006528488009500624
BAY ST SVG BK,36810,0.0006418633643956143
RTN FCU,36753,0.0006408694439454499
SALEM FIVE CENTS SVG BK,36732,0.0006405032627269683
SCITUATE FSB,36684,0.0006396662770847246
"E MORTGAGE MANAGEMENT, LLC",36116,0.0006297619469848412
WEYMOUTH BK,36045,0.0006285239057223557
ALLIANT CU,35904,0.000626065260398265
FEDERAL SVGS BK,35774,0.0006237984242838551
FIFTH THIRD MTG CO,35608,0.0006209038489377623
CLINTON SVG BK,35314,0.0006157773118790199
"BROKER SOLUTIONS, INC",34156,0.0005955850332598913
EVOLVE B&TC,34082,0.0005942946803947657
"MILEND, INC.",33942,0.000591853472271555
MEMBERS PLUS CU,33893,0.0005909990494284312
PEOPLES FSB,33393,0.000582280448988393
CBC NB,33003,0.0005754799406451632
COLE TAYLOR BK,32380,0.0005646165644968756
EQUITABLE BANK,32339,0.0005639016392607924
"NFC MORTGAGE COMPANY, LLC",31879,0.0005558805268559572
WINCHESTER CO-OP BK,31543,0.0005500216273602516
"DREW MORTGAGE ASSOCIATES, INC.",31465,0.0005486615256916056
COMMUNITY FSB,31300,0.000545784387546393
NORTH AMER SVG BK FSB,31013,0.000540779910893811
CANTON CO-OP BK,30942,0.0005395418696313257
"NEWDAY FINANCIAL, LLC",30633,0.000534153774559382
DITECH MORTGAGE CORP,28895,0.0005038479194298091
STOUGHTON CO-OP BK,28481,0.0004966289182654574
AMERICAN INTERNET MORTGAGE,28184,0.0004914500696040747
HUDSON CITY SVG BK FSB,28142,0.0004907177071671115
FIDELITY CO-OP BK,27689,0.0004828186551684369
MIDDLESEX FED SVG FA,27507,0.000479645084608263
BANK OF ENGLAND,27229,0.00047479754276360175
NORTHERN TC,27139,0.00047322819468439487
WAKEFIELD CO-OP BK,27066,0.0004719552790201493
WRENTHAM CO-OP BK,26752,0.0004664799979438053
CRESCENT MTG CO,26494,0.00046198120011674553
INLANTA MORTGAGE,25863,0.0004509783263614173
BEVERLY BK,25821,0.0004502459639244541
MUTUAL FIRST FCU,25675,0.00044770013259596295
RIVER WKS CU,25410,0.0004430792743627427
PROVINCE MORTGAGE ASSOCIATES,24620,0.0004293038856674823
DOLLAR BK FSB,24593,0.0004288330812437202
WINCHESTER SVG BK,24319,0.00042405528820257927
BAXTER CU,23962,0.000417830207488392
CUSTOMERS BK,23950,0.00041762096107783104
GEORGETOWN BK,23790,0.0004148310089370188
ST ANNES CU OF FALL RIVER,23715,0.00041352321887101306
FALL RIVER FIVE CENTS SVGS BK,23612,0.0004117271871803652
RADIUS BK,23489,0.0004095824114721158
ENTERPRISE B&TC,23412,0.00040823974700434994
LUXURY MORTGAGE CORP.,23403,0.00040808281219642924
TREMONT CU,23374,0.000407577133370907
CAPE COD CO-OP BK,23052,0.0004019623546875224
FIRST GUARANTY MORTGAGE CORP,22995,0.000400968434237358
EAGLE BK,22675,0.0003953885299557336
BANC OF CA NA,22668,0.000395266469549573
INTEGRITY FIRST FINANCIAL GR,22021,0.0003839846005801636
HOMEBRIDGE FINANCIAL SERVICES,21677,0.0003779862034774173
"NFM, INC",21467,0.00037432439129260123
AVON CO-OP BK,21235,0.0003702789606884235
"MOVEMENT MORTGAGE, LLC",21226,0.0003701220258805028
KINECTA FCU,21070,0.00036740182254321085
WATERTOWN SVG BK,20439,0.00035639894878788264
CATHAY BK,20271,0.00035346949904002976
THIRD FS&LA,20190,0.0003520570857687436
MAVERICK FUNDING,19783,0.00034496014501055245
"TOTAL MORTGAGE SERVICES, LLC",19432,0.00033883968750164563
ROSS MORTGAGE COMPANY,18856,0.0003287958597947216
STIFEL B&T,18728,0.0003265638980820718
IFREEDOM DIRECT CORP,17812,0.0003105914220759218
THE MONEY SOURCE,17782,0.0003100683060495195
ALIGN CU,17414,0.00030365141612565135
ALLIED MORTGAGE GROUP,17174,0.000299466487914433
BOKF NA,17008,0.0002965719125683403
WEBSTER FIRST FCU,16989,0.00029624060575161886
MASS BAY CU,16970,0.0002959092989348974
LOWELL FIVE CENT SVG BK,16895,0.00029460150886889165
PAWTUCKET CU,16891,0.0002945317600653714
BANK OF EASTON,16766,0.00029235210995536183
INTERCONTINENTAL CAPITAL GROUP,16677,0.000290800199077035
PENTAGON FCU,16505,0.00028780100052566183
PARAMOUNT RESIDENTIAL MORTGAGE,16497,0.0002876615029186212
SCHAEFER MORTGAGE CORP.,16472,0.00028722557289661936
MELROSE CO-OP BK,16280,0.00028387763032764466
GREAT PLAINS NB,16168,0.0002819246638290761
TIAA-CREF TC FSB,15908,0.0002773909916002562
ROUNDPOINT MORTGAGE COMPANY,15687,0.0002735373702057593
SOUTHBRIDGE SVG BK,15621,0.0002723865149476743
BANK OF ME,15611,0.0002722121429388735
NATIONS LENDING CORPORATION,15372,0.00026804465192853524
ROCKVILLE BK,15015,0.00026181957121434795
NORTHEAST BK,14968,0.00026100002277298435
BEVERLY CO-OP BK,14965,0.0002609477111703441
COLORADO FSB,14887,0.00025958760950169817
PROVIDENT FUNDING GROUP INC,14682,0.0002560129833212825
"GUIDANCE RESIDENTIAL, LLC",14223,0.0002480093081173274
KS STATEBANK,14190,0.00024743388048828485
"RESMAC, INC.",13930,0.00024290020825946498
DB PRIVATE WEALTH MORTGAGE,13575,0.00023671000194703786
FIRST PRIORITY CU,13555,0.0002363612579294363
BOFI FED BK,13534,0.00023599507671095472
SAVINGS BK,13491,0.00023524527707311142
NORTH MIDDLESEX SVG BK,13436,0.00023428623102470723
FIRST IPSWICH BK,13298,0.00023187989730325667
FIRST AMERICAN MORTGAGE TRUST,13147,0.00022924687997036514
S-BK,12994,0.00022657898823571343
NORTH SHORE BK A CO-OP BK,12518,0.00021827888061679704
FAMILY FED SVG,12463,0.00021731983456839283
HOMESTEAD FUNDING CORP,12260,0.0002137800827897373
PARKSIDE LENDING LLC,12036,0.0002098741497926002
NAVIGANT CU,11837,0.00020640414681746496
REGENCY MORTGAGE CORP.,11803,0.00020581128198754236
NORTHMARK BK,11801,0.00020577640758578223
CAPITOL FSB,11697,0.00020396293869425427
TIDEWATER MORT. SERVICES INC,11642,0.00020300389264585005
BANK RHODE ISLAND,11443,0.00019953388967071484
READING CO-OP BK,11432,0.00019934208046103402
SAINT MARYS CU,11319,0.00019737167676158536
GOLDWATER BK NA,11297,0.0001969880583422237
NORTHEAST CMNTY BK,11267,0.0001964649423158214
METROPOLITAN HOME MORTGAGE,11220,0.0001956453938744578
PEOPLESBANK,11133,0.00019412835739789116
OCEANSIDE MORTGAGE COMPANY,10880,0.0001897167455752318
INLAND B&TC,10516,0.00018336960445488397
"WATERMARK CAPITAL, INC.",10411,0.00018153869836247594
ACADEMY MORTGAGE CORPORATION,10394,0.00018124226594751466
NORTHPOINTE BK,10146,0.0001769178401292557
FIRST INTERNET BK IN,10073,0.0001756449244650101
"SEMPER HOME LOANS, INC.",10027,0.0001748428132245266
BARRONS MORTGAGE GROUP,10013,0.00017459869241220552
WASHINGTON TC OF WESTERLY,9887,0.0001724016051013159
SPENCER SVG BK,9794,0.00017077994541946879
MORTGAGE LENDERS OF AMERICA,9586,0.00016715300763641287
HUNTINGTON NB,9551,0.0001665427056056102
JG WENTWORTH HOME LENDING LLC,9512,0.00016586265477128723
MILFORD NB&TC,9368,0.0001633516978445562
NATIONAL BK OF KANSAS CITY,9354,0.00016310757703223515
WORKERS CU,9247,0.00016124179653806696
CENTRAL ONE FED CU,9125,0.00015911445803069765
VELOCITY COMMERCIAL CAPITAL,8980,0.00015658606390308655
SEMPER HOME LOANS,8617,0.0001502563599836188
"FRANKLIN FIRST FINANCIAL, LTD",8550,0.00014908806752465367
GATEWAY FUNDING DIV MTG SVCS,8538,0.00014887882111409276
HOWARD BK,8277,0.0001443277116843928
"NATIONS DIRECT MORTGAGE, LLC",8070,0.00014071821110221697
MARLBOROUGH SVG BK,8023,0.0001398986626608534
ATLANTIC HOME LOANS INC.,7975,0.00013906167701860971
AMERICAN BK,7937,0.0001383990633851668
NETWORK CAPITAL FUNDING GROUP,7927,0.00013822469137636604
NBKC BK,7842,0.00013674252930155953
"EQUITY LOANS, LLC",7825,0.00013644609688659825
MACKINAC SVG BK FSB,7658,0.00013353408433962547
INDUSTRIAL CU,7657,0.0001335166471387454
"1ST ALLIANCE LENDING, LLC",7613,0.00013274941030002202
COMPASS BK,7397,0.00012898297490992553
COMERICA BK,7268,0.00012673357599639565
PREMIA MORTGAGE LLC,7257,0.00012654176678671483
MERRIMACK VALLEY FCU,7180,0.00012519910231894893
COVENTRY CU,7121,0.00012417030746702441
"NETWORK FUNDING, L.P.",7104,0.00012387387505206313
BANK OF CAPE COD,6973,0.00012158960173677311
SOUTHERN MA CU,6849,0.00011942738882764363
"FARM CREDIT EAST, ACA",6754,0.00011777085474403637
BANKGLOUCESTER,6601,0.00011510296300938466
FIRST CHOICE LOAN SERVICES INC,6500,0.00011334180572049694
PERL MORTGAGE,6479,0.00011297562450201534
ENERGY CU,6329,0.00011036004437000387
HABIB AMER BK,6305,0.00010994155154888204
PRESIDENTIAL BK FSB,6206,0.00010821526866175447
LAND HOME FINANCIAL SERVICES,6152,0.00010727365981423034
"SIRVA MORTGAGE, INC.",6131,0.00010690747859574874
WESTSTAR MORTGAGE INC,6090,0.0001061925533596656
INDUSTRIAL & CMRL BK,5962,0.00010396059164701582
CONGRESSIONAL BK,5953,0.00010380365683909513
B2R FINANCE L.P.,5943,0.00010362928483029437
NAVEO CU,5931,0.00010342003841973344
FEARON FINANCIAL LLC,5878,0.00010249586677308939
CITY NB,5862,0.00010221687155900816
RAYMOND JAMES BK NA,5807,0.00010125782551060396
WEICHERT FINANCIAL SERVICES,5800,0.00010113576510444342
LAKE SUNAPEE BK FSB,5784,0.00010085676989036221
FIRST TRADE UNION BK,5771,0.00010063008627892121
MLD MORTGAGE INC.,5558,9.691596249146492e-05
HOLBROOK CO-OP BK,5453,9.50850563990569e-05
COMMUNITY CU OF LYNN,5397,9.410857314977261e-05
BANKNEWPORT,5366,9.356801992249025e-05
SIMSBURY B&TC,5333,9.299259229344772e-05
TAUNTON FCU,5244,9.144068141512092e-05
COUNTRY BK FOR SVG,5149,8.978414733151365e-05
ONEUNITED BK,4942,8.617464674933783e-05
"EMIGRANT MORTGAGE COMPANY, INC",4931,8.598283753965699e-05
NEWBURYPORT FIVE CNT SVG BK,4575,7.977519402634977e-05
CAPITAL BANK NA,4570,7.96880080219494e-05
GUILD MORTGAGE COMPANY,4508,7.860690156738464e-05
STONEGATE MORTGAGE LLC,4439,7.740373470665938e-05
"KELLER MORTGAGE, LLC",4434,7.731654870225899e-05
CHELSEA BK,4295,7.489277777992837e-05
MARTHA'S VINEYARD SB,4250,7.410810374032493e-05
TOYOTA FNCL SVG BK,4230,7.375935972272339e-05
BMO HARRIS BK NA,4223,7.363729931656287e-05
WASHINGTON TC,4128,7.19807652329556e-05
SUNTRUST BK,4112,7.170177001887437e-05
BENCHMARK BK,4091,7.133558880039277e-05
MONSON SVG BK,4064,7.086478437663071e-05
GUARANTY BK,4040,7.044629155550887e-05
FIRST FED BK FSB,3966,6.91559386903832e-05
ADVANCIAL FCU,3925,6.844101345430008e-05
BRIDGEVIEW BANK MTG COMP LLC,3912,6.821432984285909e-05
MASSACHUSETTS INST TECH FC,3896,6.793533462877786e-05
LENOX FINANCIAL MORTGAGE CORP,3825,6.669729336629243e-05
EMIGRANT FUNDING CORP,3787,6.603467973284953e-05
NEW ENGLAND FCU,3715,6.477920126948403e-05
REPUBLIC STATE MORTGAGE,3714,6.476176406860394e-05
HOMETOWN BK A CO-OP BK,3640,6.34714112034783e-05
FIRST FED BK OF FL,3588,6.256467675771431e-05
FIRST WESTERN TR BK,3575,6.233799314627332e-05
"HOMESTAR MORTGAGE, INC.",3552,6.193693752603156e-05
QUORUM FCU,3550,6.190206312427141e-05
SERVICE CU,3537,6.167537951283042e-05
LIBERTY HOME EQUITY SOLUTIONS,3482,6.071633346442621e-05
NEW ENGLAND REGIONAL MORTGAGE,3384,5.9007487778178715e-05
AMER AIRLINES FCU,3349,5.839718574737604e-05
ADMIRALS BK,3230,5.632215884264694e-05
CONTOUR MORTGAGE CORPORATION,3206,5.590366602152511e-05
DRAPER AND KRAMER MORTGAGE COR,3181,5.54677359995232e-05
VANGUARD FUNDING LLC,3175,5.536311279424274e-05
WASHINGTON SVG BK,3149,5.490974557136075e-05
FIRST MARINER BK,3147,5.48748711696006e-05
WATERSTONE MORTGAGE CORP.,3105,5.414250873263739e-05
POLISH NAT CU,3016,5.259059785431058e-05
ASTORIA BK,3014,5.255572345255043e-05
AMERICAN FEDERAL MORTGAGE COPR,2965,5.1701300609426686e-05
"OCMBC, INC",2934,5.1160747382144316e-05
FIRST FED BK OF KS CITY,2898,5.053300815046156e-05
UKRAINIAN FCU,2883,5.027145013726041e-05
GUARDHILL FINANCIAL CORP,2758,4.809180002725086e-05
"CONTINENTAL HOME LOANS, INC",2619,4.566802910492023e-05
PENTUCKET BK,2483,4.3296569785229835e-05
"MEMBER ADVANTAGE MORTGAGE, LLC",2474,4.3139634977309145e-05
PRIVATE BK OF BUCKHEAD,2454,4.279089095970762e-05
FIRST BK,2437,4.249445854474632e-05
NORTH BROOKFIELD SVG BK,2416,4.212827732626471e-05
"LONGBRIDGE FINANCIAL, LLC",2397,4.179697050954326e-05
GERSHMAN INVESTMENT CORPORATIO,2391,4.16923473042628e-05
BANK OF NH,2372,4.1361040487541345e-05
NEW ENGLAND TEAMSTERS FCU,2328,4.059380364881798e-05
STEPSTONE MORTGAGE COMPANY,2310,4.0279934032976605e-05
CAPE ANN SVG BK,2285,3.98440040109747e-05
REDWOOD RESIDENTIAL ACQ,2256,3.933832518545248e-05
UMASSFIVE COLLEGE FCU,2246,3.9163953176651714e-05
EVERETT CU,2245,3.914651597577164e-05
STERLING NB,2212,3.8571088346729116e-05
FFC MORTGAGE CORP,2203,3.8414153538808426e-05
ST JEANS CU,2183,3.80654095212069e-05
MILITARY FAMILY HOME LOANS,2164,3.773410270448544e-05
FALL RIVER MUNI CU,2162,3.769922830272529e-05
"LIVE WELL FINANCIAL, INC.",2152,3.752485629392453e-05
KANSAS ST BK OF MANHATTAN,2145,3.740279588776399e-05
UBS AG TAMPA BR,2064,3.59903826164778e-05
EMPLOYERS REASSURANCE CORP,2050,3.574626180415673e-05
"HOMEWARD RESIDENTIAL, INC",2019,3.520570857687436e-05
NORTHWEST FCU,2007,3.499646216631344e-05
CENTREVILLE BANK,1985,3.461284374695176e-05
CERTUSBANK NA,1951,3.401997891702916e-05
FRONTIER BK,1940,3.382816970734832e-05
FINANCIAL RESOURCES FCU,1883,3.283424925718396e-05
FIRST TECH FCU,1849,3.2241384427261364e-05
MAGNOLIA BK,1844,3.215419842286098e-05
MILLBURY FCU,1841,3.210188682022075e-05
WILMINGTON SVG FUND SCTY FSB,1839,3.20670124184606e-05
NORTH CAMBRIDGE CO-OP BK,1836,3.201470081582037e-05
HAVERHILL BK,1777,3.098590596389586e-05
PEOPLES CU,1722,3.002685991549165e-05
UNITED NATIONS FCU,1721,3.0009422714611575e-05
REVERSE MORTGAGE FUNDING LLC,1683,2.934680908116867e-05
SHANGHAI CMRL BK SF BR,1680,2.9294497478528442e-05
ACCESS NB,1652,2.88062558538863e-05
MILLBURY SVG BK,1635,2.8509823438925e-05
AMERICAN FINANCE HOUSE LARIBA,1631,2.8440074635404694e-05
RESIDENTIAL MORTGAGE SOLUTIONS,1621,2.826570262660393e-05
BANK FUND STAFF FCU,1609,2.8056456216043012e-05
AMERICAN EQUITY MORTGAGE,1596,2.782977260460202e-05
SOUTHCOAST HEALTH SYS FCU,1517,2.645223373507598e-05
EVERETT FINANCIAL INC.,1508,2.629529892715529e-05
MIDWEST CMNTY BK,1508,2.629529892715529e-05
ROLLSTONE B&T,1503,2.6208112922754908e-05
UMB BK NA,1497,2.6103489717474452e-05
WESTERN FCU,1473,2.5684996896352614e-05
BROTHERHOOD CU,1453,2.5336252878751087e-05
WEST TOWN B&TC,1418,2.472595084794841e-05
US MORTGAGE CORPORATION,1408,2.4551578839147647e-05
NEW BEDFORD CU,1404,2.448183003562734e-05
LEOMINSTER CU,1368,2.3854090803944586e-05
FIRST NB,1367,2.383665360306451e-05
WATERSTONE BK,1366,2.3819216402184434e-05
"PRYSMA LENDING GROUP, LLC",1327,2.3139165567861453e-05
FIRST NB AMER,1327,2.3139165567861453e-05
WINGS FNCL CU,1305,2.275554714849977e-05
WEI MORTGAGE CORPORATION,1276,2.2249868322977553e-05
PEOPLES NB,1264,2.2040621912416638e-05
AMERICASH,1260,2.197087310889633e-05
UNIFY FINANCIAL CREDIT UNION,1237,2.1569817488654572e-05
EASTHAMPTON SVG BK,1235,2.153494308689442e-05
SAVERS CO-OP BK,1232,2.148263148425419e-05
HOMETOWN BK,1230,2.1447757082494037e-05
"MMS MORTGAGE SERVICES, LTD.",1225,2.1360571078093653e-05
WEST TOWN BANK & TRUST,1211,2.1116450265772586e-05
WHITNEY BK,1200,2.0924641056091743e-05
MASSMUTUAL FCU,1191,2.0767706248171056e-05
RBC BK GA NA,1189,2.0732831846410904e-05
"AMERICAN EQUITY MORTGAGE, INC",1184,2.064564584201052e-05
"MID AMERICA MORTGAGE, INC",1161,2.0244590221768762e-05
GREENWOOD CU,1147,2.000046940944769e-05
